time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.01,-2.8266248613689782e-05,-2.7192540949011557e-05,-7.597470684195221e-06,-0.006655319561085192,-0.0057682536007924055,-0.00155359537383001,0.02014969476710412,-0.06144575632072253,0.0007793079402486411,4.0360881462154445,-12.280711389852785,0.2794845197075598
0.02,-0.00022970190375011862,-0.00014116983054595822,0.0007189725616562617,-0.03575356755082394,-0.016720953138837917,0.14668707414147036,0.012190991203452302,-0.1128192770002849,0.0047242874538343535,-5.549174968338789,2.012527702867125,0.7724066378076766
0.03,-0.0007369760503171467,-0.00032508573273296027,0.0028916523464506847,-0.06488321071858774,-0.01794077933926424,0.28790372715142487,-0.041185943923225554,-0.09185270355920863,0.013153387779141407,-4.955099574763216,2.153032360540523,0.9686918239857306
0.04,-0.001505991195999696,-0.0004610572208173467,0.006434357658419675,-0.0880745665095407,-0.007422284469583436,0.4205890750023431,-0.088833059761663,-0.06874245919103308,0.02227623455954468,-4.429006095723798,2.338592781671677,1.1500392814173983
0.05,-0.0024777546782708227,-0.00044171907730654715,0.011263032330720605,-0.10541063256174671,0.012862414950726504,0.5450255613656766,-0.1309680083366858,-0.043445563796325,0.03189983934908383,-3.891083665205226,2.477411687354883,1.3182830816243178
0.060000000000000005,-0.0035943232331348404,-0.0001783056873922246,0.017296549459710188,-0.11703303876180804,0.04114233324557641,0.6615113898218639,-0.16725741846643205,-0.01644372516246857,0.04190567558029632,-3.3078132320293814,2.5642722636166897,1.4652189445874069
0.07,-0.0047995969380521504,0.00040077486936458006,0.02445681386034207,-0.12316533966620966,0.07575797187974814,0.7703510825758367,-0.19751787068785717,0.011734481185279401,0.05219454956866569,-2.7401964050171745,2.603555506620144,1.5833932558830086
0.08,-0.006040055550706455,0.0013512812253891127,0.03266875167120386,-0.12409618663665573,0.11521285403786474,0.8718385794381625,-0.2219348168961023,0.0405624744918114,0.06267650018591517,-2.198566733462248,2.5987221704489345,1.6691655396132419
0.09,-0.007265371577221983,0.002714882641662389,0.041860220400066525,-0.12018001512177279,0.15818560899983572,0.9662622257327592,-0.24079893206973554,0.06928873707541533,0.07327821219429584,-1.6909275078166797,2.5076887707857103,1.7109667432430213
0.09999999999999999,-0.008429239064528759,0.004520861911040995,0.05196198838869847,-0.11186118012382097,0.20351895352406624,1.0539128327859606,-0.2544486850679281,0.09725910121727972,0.08393891737801264,-1.2164590063721092,2.3948867542246783,1.721834722006062
0.10999999999999999,-0.00948990928312484,0.0067877071649835394,0.06290781112482487,-0.09959587468352218,0.2502093519894346,1.1350937622910806,-0.26322530404802125,0.12413302971879477,0.09460153618563388,-0.7743866939460273,2.2583780633411896,1.7042979453055
0.11999999999999998,-0.010410125274307073,0.009524690054697907,0.07463483182741015,-0.08382673532622142,0.29742018846243573,1.2101753267262958,-0.26765481711717337,0.14957645370277425,0.10522172432863808,-0.4011124099843111,2.100135790869526,1.662375856311568
0.12999999999999998,-0.011156586931240971,0.012734605872280615,0.08708747814418975,-0.06490572200089254,0.34468865575266583,1.280243370205802,-0.2682111316242117,0.17306758506614767,0.11576565899008129,-0.04856276762549655,1.8794784157190305,1.5897040394715332
0.13999999999999999,-0.011700146636830881,0.01641486219055363,0.10021658780123267,-0.04331803549027792,0.3913910619337154,1.3454963326850702,-0.26519082457626314,0.1939387027805543,0.12621035578318152,0.27180866544440097,1.6058637934603714,1.4926947169561444
0.15,-0.01201682095757006,0.02055692912236034,0.11397474816042172,-0.01961090897670266,0.43696427504076824,1.406084735200745,-0.2589643761612423,0.2115430046634939,0.13653602695670444,0.5580198287531632,1.2705897637741248,1.3742419364577678
0.16,-0.01208839712589012,0.025146988923202947,0.1283159649151764,0.0056089483798098215,0.48091312687988397,1.462141117018686,-0.24992055201558125,0.22523710955081808,0.14672785087806292,0.8094010265335845,0.8789844455746025,1.2419515869570168
0.17,-0.011902963174869318,0.030166611550058182,0.143195502904482,0.03169235924004381,0.522809886477977,1.5137831104951567,-0.2384466927783115,0.2345414482177606,0.15677817876700811,1.0274731475407783,0.45324066506859023,1.1079950852260083
0.18000000000000002,-0.011455093394341422,0.03559348475114295,0.15856989631410376,0.05800240545361074,0.5623058121288088,1.56114345521399,-0.2248871845274073,0.23943746973652794,0.1666913824457166,1.2189145047208807,0.05703044473511831,0.9934254217007684
0.19000000000000003,-0.010745435484842806,0.04140208839772169,0.17439657073735976,0.08396972542063136,0.5991079353680999,1.6042646498015891,-0.20952180218029515,0.2402980044378724,0.1764914752740017,1.3883634793153241,-0.2995146233512288,0.9036020959735975
0.20000000000000004,-0.009779844676504099,0.047564313199859536,0.19063313229220166,0.10912310785469861,0.6329906241041651,1.6431393527708578,-0.1925785454890823,0.23758136317300754,0.18621261678482867,1.539941476170666,-0.6102945315157584,0.8395113102348731
0.21000000000000005,-0.008568380173646663,0.05405012710837402,0.20723691713695816,0.13309203747658024,0.6637941400884904,1.6777209003650229,-0.1742459739430348,0.23174290326849392,0.19588649634743613,1.676502060029957,-0.8811400633207221,0.7982912806643584
0.22000000000000006,-0.007124298250772461,0.06082825224764243,0.22416482031947363,0.1556077531067918,0.6914281546814961,1.7079679595998372,-0.15466491797918538,0.22327946308264537,0.20554023169107966,1.8040497764406989,-1.0966909789808021,0.7806498779901261
0.23000000000000007,-0.005462904772106836,0.06786691819156127,0.24137386590425786,0.17653318518853356,0.7158835190167464,1.7339475166791798,-0.13389565481480364,0.2129354602801499,0.2152000156280054,1.931665082382153,-1.221737248263143,0.7886597420671848
0.24000000000000007,-0.0035999796437543932,0.075134735926252,0.2588231052159396,0.1959162348180782,0.7372443829347578,1.7559980645930333,-0.11189723322853876,0.2018345703716769,0.22489385109513854,2.068821718495979,-1.2140891787138715,0.8218174819636107
0.25000000000000006,-0.0015497162530856384,0.08260156627369267,0.27647707298551893,0.21402834476308868,0.7556708846978688,1.7748792882285194,-0.08836209991421783,0.1912946894260175,0.23464827374159186,2.257228411960658,-1.0743399541592524,0.8703678423051123
0.26000000000000006,0.0006774061012276831,0.09023891683243704,0.2943100661287445,0.23132989454275465,0.7713311655938495,1.791786337284201,-0.06312271644504101,0.18217069465024519,0.24447677967720413,2.425734317582492,-0.8911455819206582,0.9165893307086219
0.2700000000000001,0.003075787375389904,0.09801979864400874,0.3123095885165269,0.24830228710725516,0.7843614314731688,1.8081704956119353,-0.03674773052550309,0.17357720361764242,0.2543559848755059,2.4996254061302903,-0.922313702467997,0.9399299936776252
0.2800000000000001,0.005642190469438825,0.10591757273163036,0.33046864616442,0.26491705936658266,0.7947023209297909,1.8236834075972939,-0.010126264050217198,0.16349023649707653,0.26422651997398533,2.493502547822106,-1.1399252790795895,0.959365299874161
0.2900000000000001,0.008371192010458566,0.11390506620636943,0.3487713298413702,0.2807845267135417,0.8023091686696842,1.8368875479424391,0.016149049275235777,0.15077949018547382,0.2740611165486032,2.4537796077406044,-1.396037232631807,0.9921631790828175
0.3000000000000001,0.011253273670297085,0.12195536359497286,0.36718779568807725,0.2954953064750522,0.8072756630930071,1.846431045378023,0.04183588452577283,0.13524718817110343,0.2838694623111353,2.4040916882086343,-1.6523979620229616,1.0399374775351269
