time,in1,in2,in3,in1_obs,in2_obs,in3_obs,in1_e_1st,in2_e_1st,in3_e_1st,out1,out2,out3,out1_obs,out2_obs,out3_obs,out1_e_1st,out2_e_1st,out3_e_1st
0.01,0.0,0.0,1.3261668986222614,0.0,0.0,0.0,0.0,0.0,0.0,0.2917591959332023,0.3712147256366847,0.18771849161598603,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,1.3541782469026031,0.0,0.0,-0.034881197849388514,-0.013232157643780489,0.014305370999877685,-2.8836181562115145e-05,0.3075255418703418,0.38413337380507173,0.20220691779967717,0.022202578586062047,0.023303552869367698,0.05701611356273407,1.7556469385386834e-05,2.130649806671766e-05,0.0007635086524207707
0.03,0.0,0.0,1.3786730235511435,0.0,0.0,-0.0845013061232979,-0.034196302386110676,0.03748263063043568,-0.00011808725287097425,0.3231614068247668,0.3968740506141454,0.21649001722226924,0.05417184451112081,0.056117823333654865,0.13405794668853133,7.54664944066006e-05,8.376730304707485e-05,0.0025452470984457924
0.04,0.0,0.0,1.3999188559413152,0.0,0.0,0.005354140455900672,-0.021268491420977788,0.02486892495623043,0.0012698423792435413,0.3386609003921018,0.4094311732096835,0.2305558288268897,0.09275064876573669,0.09535084102269692,0.21709280707163608,0.00016003632514380187,0.00017117107420121496,0.003434514536850303
0.05,0.0,0.0,1.4182439230625872,0.0,0.0,0.10401200667773396,-0.010234341227187915,0.013722375773282197,0.0018454363137978657,0.3540181914140953,0.4217992423932191,0.24439259995771612,0.13541157179696034,0.13857074982127068,0.30207698152763984,0.00023930099867827817,0.0002520919074032311,0.0037685628257877017
0.060000000000000005,0.0,0.0,1.433974462843431,0.0,0.0,0.20513852139598515,-0.0014313196359436176,0.004515120703864284,0.002037193810555439,0.3692275102001569,0.43397284503638767,0.2579887965027827,0.18060362694796225,0.18426147483563235,0.3867200999713871,0.0003013504794313394,0.00031487321431785125,0.0037084304748701696
0.07,0.0,0.0,1.4473868673396362,0.0,0.0,0.305564116264937,0.004715591973505184,-0.002378490151739965,0.0019812981813812454,0.38428315072154995,0.4459466564564539,0.27133311283259565,0.22719161721347214,0.23131356934043984,0.46929502346470864,0.00034034503860932964,0.00035411095483401126,0.0033590482313819343
0.08,0.0,0.0,1.4587185797585573,0.0,0.0,0.40336522765600114,0.007951171025424031,-0.006154647581587236,0.0017821626979321438,0.39917947277738897,0.45771544275197473,0.2844144815258075,0.27426684501210563,0.27884219293820367,0.5482335749012575,0.0003548078671461248,0.00036867566309642386,0.002805305287221449
0.09,0.0,0.0,1.4681761529572448,0.0,0.0,0.49726521070004576,0.009724920482721666,-0.00820599517358453,0.001514377834952313,0.4139109041316115,0.4692740630975723,0.2972220828733968,0.32105003247869723,0.3260927039736879,0.6218350326607728,0.0003460849808022736,0.0003601219222711359,0.002120162673522469
0.09999999999999999,0.0,0.0,1.4759381722275406,0.0,0.0,0.5864208005010954,0.010463802294357422,-0.009061433509633454,0.0012307405184418222,0.42847194262009825,0.480617471996808,0.3097453541530029,0.36683280289625386,0.37238378228891683,0.6878184476811988,0.0003174181797807214,0.00033175135828142355,0.001369502016061376
0.10999999999999999,0.0,0.0,1.4821498392960157,0.0,0.0,0.6703510119107844,0.010451578007564355,-0.009028861271000888,0.0009665970320768351,0.4428571582271368,0.4917407214921671,0.32197399866527937,0.4109346262026921,0.4170663797075976,0.7418711730656872,0.0002733063357216285,0.0002879898379421035,0.0006167283393347656
0.11999999999999998,0.0,0.0,1.4868778733637322,0.0,0.0,0.7489414566952343,0.009920513374650275,-0.00835890102573808,0.0007431066979951659,0.457061195130433,0.5026389633311855,0.33389799452434404,0.4526611446361518,0.45948570419600687,0.7107089168660157,0.0002190141217607751,0.00023392600978971827,-6.813011076078901e-05
0.12999999999999998,0.0,0.0,1.4901760654022613,0.0,0.0,0.8225112251714679,0.009137757776004257,-0.0073629425943281535,0.0005706499011928334,0.47107877371389034,0.5133074510877675,0.3455076031946346,0.4912913852142127,0.49896782631543446,0.6593785937432436,0.00016089152609407784,0.00017555995856740822,-0.0005015560949797188
0.13999999999999999,0.0,0.0,1.4922007757670854,0.0,0.0,0.8918024296932885,0.008291835315186735,-0.006256003700677748,0.0004490395902333865,0.4849046925473918,0.5237415422377608,0.35679337776670705,0.5260368826251627,0.5347829996739284,0.6021511356051081,0.0001052974013325235,0.0001188753340636492,-0.0007748922997556362
0.15,0.0,0.0,1.4932507276990148,0.0,0.0,0.9573976184793954,0.007211928996003009,-0.004786820996118157,0.0003606285738536807,0.4985338303328322,0.533936700187884,0.36774617096475587,0.5555726252642434,0.5657848827667551,0.5416412994862659,5.4981312159047696e-05,6.673840401593203e-05,-0.0009685620011400525
0.16,0.0,0.0,1.4938141280558987,0.0,0.0,1.0197346767687887,0.005672319838979228,-0.002675466898544976,0.00029414224629219395,0.5119611478156663,0.5438884962571109,0.37835714287887995,0.5756343403454591,0.5890286309616117,0.47900139160069566,1.1702960864022616e-05,2.1088620314742984e-05,-0.0011123154291327597
0.17,0.0,0.0,1.4947122062169158,0.0,0.0,1.0791079831202348,0.0034243246332520405,0.0004023645492208239,0.0002420678576592521,0.5251816896612505,0.5535926116096496,0.38861776841536855,0.552470328955981,0.5676490363657116,0.4147409677012658,-2.0800731066326905e-05,-1.5094592145516866e-05,-0.0012319635658512296
0.18000000000000002,0.0,0.0,1.496767532101551,0.0,0.0,1.135535911102385,0.00010612472743393164,0.00445277239949593,0.000197491588343807,0.5381905862952746,0.5630448391386638,0.3985198444585434,0.5264539631575469,0.5428527392749847,0.34898826007226624,-3.309863174231348e-05,-2.7313090532825324e-05,-0.0013504486814139571
0.19000000000000003,0.0,0.0,1.500274009590307,0.0,0.0,1.1893784127092735,-0.003778674563494566,0.009671842165852373,0.00016370920815231716,0.550983055707592,0.5722410852999169,0.408055496737951,0.4986180013735019,0.5163637051202675,0.2817685030873494,-4.337589472153125e-05,-3.557033972410861e-05,-0.0014750653864419316
0.20000000000000004,0.0,0.0,1.5051678265033521,0.0,0.0,1.2475653812359502,-0.0061540302214747045,0.01415435808289306,0.0002232930034399231,0.5635544052187772,0.5811773718945331,0.4172171863949731,0.47063790388913895,0.4899635994470402,0.213330050245006,-4.4281305157940765e-05,-3.509507548206392e-05,-0.001584981699516097
0.21000000000000005,0.0,0.0,1.5115796338688805,0.0,0.0,1.3156557492718086,-0.006326250383734244,0.01633602741915613,0.0004187115254988471,0.5759000332087524,0.5898498378000965,0.42599771624319493,0.4456761371481188,0.46699086235334886,0.1442407097492298,-2.804947919741313e-05,-2.0122154976917606e-05,-0.0016461435630691634
0.22000000000000006,0.0,0.0,1.5173597114818709,0.0,0.0,1.3926811690998093,-0.0047211244628174165,0.016594338146866394,0.0006856594809817101,0.5880154308068423,0.5982547406493346,0.43439023671714916,0.45742594716818213,0.483133689839566,0.07518853424043975,1.3770410866725813e-06,4.906162653951773e-06,-0.001642604403092801
0.23000000000000007,0.0,0.0,1.520426095778396,0.0,0.0,1.4783977751298283,0.00026854188894170905,0.01172487779221798,0.0010515551531202999,0.5998961835426356,0.6063884584556486,0.44238825150434247,0.4831229055732767,0.5077303049851551,0.007072024254228107,3.150289066941592e-05,2.6443863308217574e-05,-0.0015553676910783354
0.24000000000000007,0.0,0.0,1.5207499478349258,0.0,0.0,1.5740190090430106,0.008716812118326034,-0.0003429547209320427,0.001628506752017824,0.6115379729570443,0.6142474911847837,0.44998562285575183,0.5142834752748162,0.5373501693627427,-0.058835261541824946,6.811536317942457e-05,5.5610369720959785e-05,-0.0013631926227395952
0.25000000000000006,0.0,0.0,1.517633315246975,0.0,0.0,1.6673006355044147,0.01325940653056612,-0.007421256916603114,0.0014748798033252992,0.6229365781729722,0.6218284622719548,0.45717657657027816,0.548133625080558,0.569348214912433,-0.1213966547405798,9.485623873786708e-05,7.573860975022828e-05,-0.0011067490712698969
0.26000000000000006,0.0,0.0,1.5107062206414648,0.0,0.0,1.753370934728753,0.016911204367570376,-0.013011666691618795,0.0010690190398368014,0.6340878774250231,0.6291281200837626,0.4639557066489371,0.5836058784452702,0.6027049787683025,-0.17918598586806525,0.00011438751648598644,8.944563705849673e-05,-0.0008057757464529636
0.2700000000000001,0.0,0.0,1.4999941887247148,0.0,0.0,1.8240509017183568,0.019412875722242262,-0.01712534195189297,0.00048613572899812614,0.6449878495476897,0.6361433393242694,0.470317979614868,0.6199350388462579,0.636669133103058,-0.2300544961569652,0.00012584760763736935,9.614058103513123e-05,-0.00048374846163146135
0.2800000000000001,0.0,0.0,1.485855015314994,0.0,0.0,1.7720561687280516,0.02064916924636967,-0.019410796121164586,-0.0001423670868017004,0.6556325754214932,0.6428711223846157,0.47625873849554523,0.6563998197612018,0.6705002910381875,-0.26916776686036126,0.00012773736532244173,9.464353872022657e-05,-0.0001690908295732818
0.2900000000000001,0.0,0.0,1.46938458997934,0.0,0.0,1.6999094188595494,0.020695214068355616,-0.019772480439932738,-0.0005277634069522242,0.6660182393765502,0.6493086006355993,0.48177370646388484,0.692235899973076,0.7033665908443995,-0.23487954773743341,0.00011915314773489061,8.429984383222233e-05,9.986268444350799e-05
0.3000000000000001,0.0,0.0,1.4515532205881612,0.0,0.0,1.6210192508300048,0.019408436017189445,-0.017675072541324166,-0.0007545077645523032,0.6761411305530698,0.6554530356626466,0.48685899013524575,0.7263705803300523,0.7340026760626364,-0.19275780803664783,9.808596776894607e-05,6.364387226519275e-05,0.00022743050716156343
0.3100000000000001,0.0,0.0,1.4325050385854519,0.0,0.0,1.5394164148786547,0.016908473810865465,-0.013184230222615834,-0.0008637602170519692,0.6859976442182989,0.6613018204426505,0.4915110825176396,0.7570974717210132,0.7600311424900814,-0.1477323647239723,6.440180227257342e-05,3.316025353555796e-05,0.00029693097875960195
0.3200000000000001,0.0,0.0,1.4122554338374291,0.0,0.0,1.458770169149694,0.014534969136861753,-0.008886172514557256,-0.0008239650832524321,0.6955842830394551,0.6668524804621564,0.4957268656127781,0.782112004112084,0.7742242992707328,-0.10142770186193519,2.82874028280089e-05,2.9318349671902943e-06,0.0003321409518016738
0.3300000000000001,0.0,0.0,1.39117529889464,0.0,0.0,1.3816077209661555,0.012409648831690379,-0.0051594807107498974,-0.0006905516741012082,0.7048976583121971,0.672102674776418,0.4995036126658982,0.771762477566827,0.7530809019412431,-0.05472322287713225,-8.289063201105673e-07,-1.4438517533382766e-05,0.00034376182505840847
0.34000000000000014,0.0,0.0,1.369571452429858,0.0,0.0,1.3098839399003037,0.010267587598034034,-0.0015690526136099558,-0.0005154955184021254,0.713934491144216,0.6770501970088642,0.5028389900626326,0.7532408714294041,0.7318007843968971,-0.008206603198330005,-8.502332767362786e-06,-1.4815612478236151e-05,0.00033826425651839465
0.35000000000000014,0.0,0.0,1.3471693926394308,0.0,0.0,1.2455675560710846,0.008181280756903941,0.0018644184353874271,-0.0003333179195706701,0.7226916135935353,0.6816929762905477,0.5057310588715014,0.7376179857447624,0.7119169748819714,0.037671976714040836,-4.303963104440589e-06,-1.1293326801997683e-05,0.00032008357307927726
0.36000000000000015,0.0,0.0,1.3230698364068871,0.0,0.0,1.1934934689608436,0.007005814246527353,0.0030083255884261195,-0.00014323819844302976,0.7311659697611346,0.6860290781391666,0.5081782760309335,0.7504722913490296,0.6951760082480508,0.08255222178693075,1.972504501956962e-06,-5.674735751803883e-06,0.00029311928921899044
0.37000000000000016,0.0,0.0,1.2966421501136394,0.0,0.0,1.222441530763564,0.0067422587651680965,0.0021605719898745157,1.36788678445866e-05,0.739354616837531,0.6900567052772901,0.5101794951800361,0.7645200550987442,0.6870257464178671,0.12615186664681405,2.813534850959476e-06,-3.1879372414111984e-07,0.00026106901272082705
0.38000000000000017,0.0,0.0,1.2683170928391956,0.0,0.0,1.2635953704958753,0.007216301157724758,-0.0002316989040593853,5.587449833937674e-05,0.7472547261029697,0.6937741983894287,0.5117339671326622,0.7772654377230642,0.6970955238049502,0.16824688721506229,1.9064921921163602e-06,7.428532001751975e-07,0.00022685399096372683
0.3900000000000002,0.0,0.0,1.2393965208950655,0.0,0.0,1.2940471932293047,0.008507421941802984,-0.0021288930178372523,1.6750406891854683e-05,0.7548635838808934,0.6971800368176347,0.512841339994642,0.7673200511789009,0.6838459283855977,0.2086403794434219,-7.068222128148172e-07,-2.226557876017221e-06,0.0001923397853789699
0.4000000000000002,0.0,0.0,1.2118547982303964,0.0,0.0,1.2565514033440315,0.01069102980768788,-0.003227586763107748,-3.8503677985779125e-05,0.7621785924443845,0.7002728391953301,0.5135016589243709,0.7548495987564138,0.668123714927944,0.24713334732751008,-1.7472391767858753e-06,-4.414466984403731e-06,0.00015861677269368712
0.4100000000000002,0.0,0.0,1.1887159935691027,0.0,0.0,1.2152051256687557,0.014196552176842014,-0.0037153750682450415,-5.6926942256046303e-05,0.7691972708752903,0.7030513640190996,0.5137153655372648,0.7409435978467551,0.6497059697408818,0.28350823326371355,-2.701671451721399e-06,-8.313221657341163e-06,0.00012648239495288705
0.4200000000000002,0.0,0.0,1.1746870245453398,0.0,0.0,1.171846187091858,0.021032984843604552,-0.005133154261653394,-6.8847275379238e-05,0.7759172558757621,0.7055145101582029,0.5134832969549177,0.7258216547759523,0.628307141833579,0.3175524635559688,-3.7779300702256435e-06,-1.5148982510315712e-05,9.705046004165885e-05
