time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.01,2.3545640408528676e-05,8.441563127487108e-06,0.0005962851579268112,0.005607889220649711,0.002495385185731403,0.11923598008527335,-0.022985649637045042,0.025668642960734966,0.0010980294442995751,-4.599908223399197,5.127014150288455,0.2784940029143749
0.02,0.0001439755672958085,7.715863365075185e-05,0.002365222532849761,0.020146600118071623,0.012739780269736427,0.23440107111661596,-0.06600619908872467,0.0745737791145049,0.00407896899589771,-4.040122862343718,4.6120952253448975,0.7523101613146088
0.03,0.00045820860136245385,0.0002901687215493767,0.005265874506287073,0.04414945163089733,0.031149759388331113,0.3454789290396602,-0.10320006460094189,0.11865723173675469,0.009583282897697068,-3.508591987814316,4.077033308574185,1.085142338093032
0.04,0.0010540573894181463,0.0007229901975102475,0.009258304534523382,0.07625510579330158,0.056515525856181394,0.45270213590420955,-0.1346876386024182,0.1579071939882243,0.016972137551694726,-2.9947158508289604,3.541988842405626,1.300203111654416
0.05,0.002006068844431539,0.0014396160263754048,0.01430476727147591,0.11517992510554914,0.08773747136672422,0.5562671568035567,-0.1606711475465273,0.19239128680203268,0.025728513709398895,-2.5081516867112743,3.025242255511617,1.4207600872095678
0.060000000000000005,0.0033763620311655458,0.002493410083258281,0.020369270823568857,0.15972732720180155,0.12378927043804352,0.6563190220703714,-0.18148652052938638,0.22226886022248354,0.0354373664901334,-2.0549715704094367,2.5393907834440785,1.46935826206584
0.07,0.005215552527931322,0.0039277688853536635,0.027417061830476125,0.20879590383864569,0.16370360637073003,0.7529520618297969,-0.19754252883573703,0.2477766769469793,0.04577364331757935,-1.6376188656328101,2.092269357342811,1.4664355956868271
0.08,0.007563746894078106,0.005776690344371214,0.03541414888934456,0.2613860535761371,0.20656761238623417,0.8462172913333292,-0.20926737254006902,0.2692102948315904,0.05649178400569766,-1.2551744485381173,1.68772538799134,1.4294810576493777
0.09,0.01045159116553513,0.00806532166289894,0.04432691493226752,0.3166047370253289,0.2515230287507544,0.9361330395248681,-0.2170624570337578,0.28690175037748983,0.06741484056498909,-0.9033341889054425,1.326353175699811,1.3724914368640488
0.09999999999999999,0.013901351666692848,0.01081050942718421,0.054121842299215114,0.3736676859272778,0.29776620234642215,1.0226969095890992,-0.22125907655500596,0.301195720018829,0.0784220961268402,-0.5739234805428207,1.006214006519533,1.3058788839723223
