time,in1,in2,in3,in1_obs,in2_obs,in3_obs,in1_e_1st,in2_e_1st,in3_e_1st,out1,out2,out3,out1_obs,out2_obs,out3_obs,out1_e_1st,out2_e_1st,out3_e_1st
0.01,0.0,0.0,0.44053117845326994,0.0,0.0,0.0,0.0,0.0,0.0,0.3997425915545362,0.3821457115362565,-0.13771537429363237,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.46064671225869985,0.0,0.0,-0.021866682535233193,0.0071371434404922,-0.0074665114019360585,-4.4535239111820196e-06,0.4258688364944134,0.39898468335321136,-0.12825575226612487,0.022756982150094175,0.02250231138028423,-0.017571796683271874,1.9376806184649835e-05,1.8523883456053673e-05,-6.8879216452008825e-06
0.03,0.0,0.0,0.4962906628577513,0.0,0.0,-0.0846767152995688,-0.02131708740255464,0.02555802832793082,-0.0003031714276883303,0.4516175250623651,0.41566926412489835,-0.11875400029255019,0.05070323406254565,0.04991909731555738,0.03656297705118487,4.406743757801994e-05,4.082156819905579e-05,0.0006204814802490452
0.04,0.0,0.0,0.5289872106739401,0.0,0.0,-0.17274202581317782,-0.09440482052026947,0.10756309081862364,-0.0011716332067012005,0.47697024495547985,0.4321930263788391,-0.1092136752532818,0.08795094106338684,0.08599012663953241,0.10975206446925156,0.0001390662325662726,0.00012230878781748826,0.0020730455657199938
0.05,0.0,0.0,0.5587876473637697,0.0,0.0,-0.03934610377071196,-0.07160989822135752,0.08208320660485409,0.006167972122339228,0.5019089054217072,0.44854960487230405,-0.0996383465149197,0.13445021077994793,0.1309128867373219,0.18825515609907095,0.0003377598699623168,0.0002942315552392777,0.0027439144208685185
0.060000000000000005,0.0,0.0,0.58576844764156,0.0,0.0,0.11176985035543541,-0.05000863773871775,0.059115834954199364,0.010158122817620826,0.5264157505117394,0.46473269904466,-0.09003159452798568,0.18717859306353674,0.18179157240219923,0.2679654583778126,0.00055847187806146,0.0004841356402285388,0.002916630037273234
0.07,0.0,0.0,0.6101843374910983,0.0,0.0,0.27051467756748315,-0.029337015895975482,0.038715174067975644,0.012370023337951393,0.5504733720688298,0.4807360754446897,-0.08039700942117986,0.2443402903446667,0.23690143627184404,0.34648302363040284,0.000771336676874027,0.0006664090293733624,0.00274593856366266
0.08,0.0,0.0,0.6324425167321664,0.0,0.0,0.43193467305534383,-0.010298303694824373,0.020951621655977137,0.013225177587627545,0.5740647224468993,0.49655357013194573,-0.07073818959278218,0.3047254481178324,0.29506377422495617,0.4219435610306379,0.0009606038905483442,0.0008267818649499159,0.002342626732347884
0.09,0.0,0.0,0.6530542916283779,0.0,0.0,0.5927191837226646,0.006123877419507984,0.0059552828985531825,0.013018142528923474,0.597173126947485,0.5121790910512153,-0.06105874029978139,0.3674465658549554,0.3553885769189184,0.49253364431491664,0.0011180949260020641,0.0009567691429865181,0.0017939002772413247
0.09999999999999999,0.0,0.0,0.6725791452343775,0.0,0.0,0.7502173621183525,0.01754034907858404,-0.005921663671806576,0.011986001556370491,0.619782295966305,0.5276066203791797,-0.051362272245315414,0.4318144434994609,0.41715134573303086,0.5560030504349106,0.00124022442065767,0.0010513094017170523,0.0011724147091584022
0.10999999999999999,0.0,0.0,0.6915742197723149,0.0,0.0,0.9020089501137808,0.02589523911976055,-0.013419271398599997,0.010341011161650567,0.641876336840438,0.542830216842367,-0.041652400165007215,0.4972712509899487,0.47972455980935874,0.608353812525928,0.0013263031430540261,0.0011075857824120218,0.0005426446840644181
0.11999999999999998,0.0,0.0,0.710562905147297,0.0,0.0,1.0456313223988192,0.03173082860651366,-0.01862124495052153,0.008288206687754984,0.6634397653873395,0.5578440180055005,-0.03193274141277982,0.5633515556458372,0.5425356274225772,0.5829554878208936,0.001377563623678222,0.0011245226849966941,-3.0063795206161648e-05
0.12999999999999998,0.0,0.0,0.7277242636850033,0.0,0.0,1.1782430093651852,0.03541961705246399,-0.022142783860592763,0.006024200090697278,0.6844575171271624,0.5726422425293662,-0.02220691454673465,0.6296841117450832,0.60506489851709,0.5346953919947829,0.0013987189274470083,0.001104477783112564,-0.00039190088074216034
0.13999999999999999,0.0,0.0,0.7406667775863445,0.0,0.0,1.2962525524457622,0.03735904765574882,-0.028313898384302316,0.0037778151545996056,0.7049149581800814,0.587219192397327,-0.012478537915676007,0.6959951720311877,0.6668483436913313,0.48103885756907017,0.0013969067259884949,0.0010527178987867515,-0.0005988444042456242
0.15,0.0,0.0,0.74946305325147,0.0,0.0,1.3934127232375977,0.037578244856919185,-0.03984700661832907,0.0017359022550361741,0.7247978958305823,0.6015692551096248,-0.002751228246864407,0.761943911017185,0.7273636303405575,0.42473758360555297,0.0013666254461145513,0.0009689110280285199,-0.0007259327802600773
0.16,0.0,0.0,0.7544024599471733,0.0,0.0,1.331022955291087,0.035716835371171485,-0.04640701042204043,-0.0002951383672482712,0.7440925887509181,0.6156869058446307,0.006971400764419562,0.8269925354913854,0.7858968355242999,0.3671359122187775,0.0012935284624047277,0.0008480720374842085,-0.0007953602104551899
0.17,0.0,0.0,0.7558718755769473,0.0,0.0,1.2357592875543324,0.03237818723559005,-0.04908016713539942,-0.001604284479642332,0.762785756876209,0.6295667095862032,0.016685739862921257,0.8903860528524659,0.8414076212700982,0.3089908735252817,0.0011668174518032481,0.0006860140632183459,-0.0008257986627748515
0.18000000000000002,0.0,0.0,0.7543608636646113,0.0,0.0,1.1308241297914077,0.02818170631792266,-0.04895499062226116,-0.0023618715140329176,0.780864590923917,0.6432033232163423,0.02638818563848841,0.9511332107263133,0.8923168956738428,0.2507732617981888,0.000983846567864266,0.0004853009579946638,-0.0008299292308538292
0.19000000000000003,0.0,0.0,0.7504175869234394,0.0,0.0,1.0220517939261373,0.023577077978691574,-0.046722740072756674,-0.002726754315947012,0.7983167615507066,0.6565914975723293,0.03607514192760151,1.0078848210879565,0.9357106900559807,0.19279406405118288,0.0007494389791385114,0.00025617339681043017,-0.0008164175406062124
0.20000000000000004,0.0,0.0,0.7445961192015877,0.0,0.0,0.912832963304913,0.018892947868591803,-0.04292820300231015,-0.0027718024766791227,0.8151304281399768,0.6697260794675605,0.0457430212107832,1.0585355022221576,0.9583076721458486,0.13526555890609182,0.00047551550211351323,1.883758762109833e-05,-0.0007913268042826493
