center_x,center_y,center_z,psi
7.0,3.0,6.0,0.0
6.9999013042806855,3.0314150997083815,6.012566039883352,0.0
6.99960522101908,3.062825238608344,6.0251300954433376,0.0
6.999111761904045,3.0942254566748364,6.037690182669935,0.0
6.9984209464165,3.1256107954494237,6.05024431817977,0.0
6.997532801828658,3.1569762988232832,6.0627905195293135,0.0
6.996447363202946,3.188317013819832,6.075326805527933,0.0
6.995164673390623,3.219627991376858,6.087851196550743,0.0
6.993684783030087,3.250904287128037,6.100361714851215,0.0
6.992007750544875,3.2821409621837043,6.112856384873481,0.0
6.990133642141358,3.3133330839107606,6.125333233564304,0.0
6.9880625318061265,3.344475726711595,6.137790290684638,0.0
6.98579450130307,3.375563972801893,6.150225589120757,0.0
6.983329640170149,3.406592912987209,6.162637165194884,0.0
6.980668045715863,3.43755764743819,6.175023058975276,0.0
6.9778098230154,3.4684532864643116,6.187381314585725,0.0
6.9747550849065005,3.4992749512860177,6.199709980514407,0.0
6.971503951984994,3.5300177748051365,6.212007109922054,0.0
6.968056552600042,3.560676902373453,6.2242707609493815,0.0
6.964413022849069,3.5912474925593116,6.236498997023725,0.0
6.9605735065723895,3.6217247179121372,6.248689887164855,0.0
6.956538155347533,3.6521037657247426,6.260841506289897,0.0
6.952307128483256,3.682379838793313,6.272951935517325,0.0
6.947880593013255,3.7125481561749405,6.2850192624699766,0.0
6.943258723689571,3.742603953942587,6.297041581577035,0.0
6.938441702975689,3.7725424859373686,6.3090169943749475,0.0
6.9334297210393405,3.8023590245180237,6.32094360980721,0.0
6.9282229757449905,3.8320488613074666,6.3328195445229865,0.0
6.922821672646027,3.8616073079362927,6.344642923174517,0.0
6.917226024976649,3.891029696783127,6.356411878713251,0.0
6.911436253643443,3.920311381711695,6.368124552684678,0.0
6.90545258721667,3.949447738804503,6.379779095521801,0.0
6.899275261921234,3.978434167093006,6.391373666837202,0.0
6.892904521627361,4.0072660892841565,6.402906435713662,0.0
6.886340617840967,4.03593895248321,6.414375580993284,0.0
6.879583809693737,4.064448228912681,6.425779291565073,0.0
6.872634363932885,4.092789416627332,6.437115766650933,0.0
6.865492554910633,4.12095804022508,6.448383216090032,0.0
6.85815866457337,4.148949651553719,6.459579860621488,0.0
6.850632982450529,4.1767598304133315,6.470703932165333,0.0
6.842915805643155,4.2043841852542885,6.481753674101715,0.0
6.835007438812175,4.231818353870729,6.492727341548291,0.0
6.82690819416637,4.259058004089402,6.503623201635761,0.0
6.818618391450048,4.286098834453766,6.514439533781506,0.0
6.8101383579304295,4.312936574903239,6.525174629961295,0.0
6.801468428384715,4.339566987447491,6.5358267949789965,0.0
