A,T,r_fntsmc
0.17453292519943295,3.0,-1.5229590642096946
0.17453292519943295,3.75,-1.4359224490063456
0.17453292519943295,4.5,-1.4412174483835771
0.17453292519943295,5.25,-1.5971633043856948
0.17453292519943295,6.0,-1.6416390605190359
0.29088820866572157,3.0,-1.634472217984541
0.29088820866572157,3.75,-1.4437048756819273
0.29088820866572157,4.5,-1.4296533514996796
0.29088820866572157,5.25,-1.6656926464937976
0.29088820866572157,6.0,-1.7325731001356395
0.40724349213201017,3.0,-1.8481496990752382
0.40724349213201017,3.75,-1.5212980283692843
0.40724349213201017,4.5,-1.4716934751482338
0.40724349213201017,5.25,-1.7707859067163607
0.40724349213201017,6.0,-1.856579952099237
0.5235987755982988,3.0,-2.163881628571126
0.5235987755982988,3.75,-1.6703593735222197
0.5235987755982988,4.5,-1.568526659755573
0.5235987755982988,5.25,-1.9117686529172992
0.5235987755982988,6.0,-2.012802484109921
0.6399540590645875,3.0,-2.5856810727908135
0.6399540590645875,3.75,-1.8975369965825637
0.6399540590645875,4.5,-1.726091523627577
0.6399540590645875,5.25,-2.0903741580511395
0.6399540590645875,6.0,-2.2034063935211607
0.7563093425308761,3.0,-3.122286019986394
0.7563093425308761,3.75,-2.2215580087254927
0.7563093425308761,4.5,-1.9610038192094181
0.7563093425308761,5.25,-2.3110097924563022
0.7563093425308761,6.0,-2.4334778013502874
0.8726646259971647,3.0,-3.7583572841790764
0.8726646259971647,3.75,-2.632440825228758
0.8726646259971647,4.5,-2.30783174209831
0.8726646259971647,5.25,-2.586557528721343
0.8726646259971647,6.0,-2.723412871317391
0.9890199094634533,3.0,-4.4975311996955085
0.9890199094634533,3.75,-3.135139338688767
0.9890199094634533,4.5,-2.7634715184855154
0.9890199094634533,5.25,-2.9124690529656534
0.9890199094634533,6.0,-3.108242621548361
1.105375192929742,3.0,-5.356894841287712
1.105375192929742,3.75,-3.744290120406536
1.105375192929742,4.5,-3.3127593043320362
1.105375192929742,5.25,-3.285447457707776
1.105375192929742,6.0,-3.5997026451978487
1.2217304763960306,3.0,-6.390712740671668
1.2217304763960306,3.75,-4.532006459020132
1.2217304763960306,4.5,-4.049777204740329
1.2217304763960306,5.25,-3.7267122262525456
1.2217304763960306,6.0,-4.265750871038494
