A,T,r_rl_obs
0.17453292519943295,3.0,-0.1819191193051909
0.17453292519943295,3.75,-0.04141189817913411
0.17453292519943295,4.5,-0.0354770962286729
0.17453292519943295,5.25,-0.6016899743992165
0.17453292519943295,6.0,-0.5501710360702982
0.29088820866572157,3.0,-0.791626651274114
0.29088820866572157,3.75,-0.2411771685632073
0.29088820866572157,4.5,-0.40289097923095907
0.29088820866572157,5.25,-0.7248875904912764
0.29088820866572157,6.0,-0.8670077785029641
0.40724349213201017,3.0,-1.1567046114571424
0.40724349213201017,3.75,-0.7194841951005041
0.40724349213201017,4.5,-0.18639136728496816
0.40724349213201017,5.25,-0.9798227657577488
0.40724349213201017,6.0,-0.6044111156696627
0.5235987755982988,3.0,-1.3061399667458031
0.5235987755982988,3.75,-0.7505712889558799
0.5235987755982988,4.5,-6.066156115783994
0.5235987755982988,5.25,-0.20486541305891115
0.5235987755982988,6.0,-2.018352629435423
0.6399540590645875,3.0,-1.4682866387918116
0.6399540590645875,3.75,-0.6601421922563526
0.6399540590645875,4.5,-8.66861994635034
0.6399540590645875,5.25,-1.3589451815285942
0.6399540590645875,6.0,-0.23057406515394704
0.7563093425308761,3.0,-3.461766074407243
0.7563093425308761,3.75,-2.0441009637030825
0.7563093425308761,4.5,-0.7763980252035129
0.7563093425308761,5.25,-1.2062976013287023
0.7563093425308761,6.0,-0.1829646800403298
0.8726646259971647,3.0,-3.091710777223987
0.8726646259971647,3.75,-1.4574841700411871
0.8726646259971647,4.5,-2.5146290793845787
0.8726646259971647,5.25,-0.36719558639191635
0.8726646259971647,6.0,-1.1646169742450247
0.9890199094634533,3.0,-4.380354102988587
0.9890199094634533,3.75,-5.874031904005539
0.9890199094634533,4.5,-22.04112700140294
0.9890199094634533,5.25,-0.5669893479125984
0.9890199094634533,6.0,-0.4176920931085262
1.105375192929742,3.0,-6.223727852142573
1.105375192929742,3.75,-2.814151531432739
1.105375192929742,4.5,-1.3604220665142002
1.105375192929742,5.25,-13.959056095805398
1.105375192929742,6.0,-31.476451345849124
1.2217304763960306,3.0,-7.552219139588012
1.2217304763960306,3.75,-3.3642401514496743
1.2217304763960306,4.5,-2.708213552985165
1.2217304763960306,5.25,-11.393050210349845
1.2217304763960306,6.0,-22.462167515671474
