A,T,r_rl_obs
0.0,5.0,-53.05324068141349
0.0,5.103448275862069,-53.05324068141349
0.0,5.206896551724138,-53.05324068141349
0.0,5.310344827586207,-53.05324068141349
0.0,5.413793103448276,-53.05324068141349
0.0,5.517241379310345,-53.05324068141349
0.0,5.620689655172414,-53.05324068141349
0.0,5.724137931034483,-53.05324068141349
0.0,5.827586206896552,-53.05324068141349
0.0,5.931034482758621,-53.05324068141349
0.0,6.0344827586206895,-53.05324068141349
0.0,6.137931034482759,-53.05324068141349
0.0,6.241379310344827,-53.05324068141349
0.0,6.344827586206897,-53.05324068141349
0.0,6.448275862068965,-53.05324068141349
0.0,6.551724137931035,-53.05324068141349
0.0,6.655172413793103,-53.05324068141349
0.0,6.758620689655173,-53.05324068141349
0.0,6.862068965517241,-53.05324068141349
0.0,6.9655172413793105,-53.05324068141349
0.0,7.068965517241379,-53.05324068141349
0.0,7.172413793103448,-53.05324068141349
0.0,7.275862068965518,-53.05324068141349
0.0,7.379310344827586,-53.05324068141349
0.0,7.482758620689655,-53.05324068141349
0.0,7.586206896551724,-53.05324068141349
0.0,7.689655172413794,-53.05324068141349
0.0,7.793103448275862,-53.05324068141349
0.0,7.896551724137931,-53.05324068141349
0.0,8.0,-53.05324068141349
0.10416666666666667,5.0,-71.3493837612958
0.10416666666666667,5.103448275862069,-71.98980841416126
0.10416666666666667,5.206896551724138,-72.5482813792828
0.10416666666666667,5.310344827586207,-72.9792322105864
0.10416666666666667,5.413793103448276,-73.26944045427953
0.10416666666666667,5.517241379310345,-73.41691262704046
0.10416666666666667,5.620689655172414,-73.4348735226061
0.10416666666666667,5.724137931034483,-73.34226705605458
0.10416666666666667,5.827586206896552,-73.15964079897995
0.10416666666666667,5.931034482758621,-72.91133412367388
0.10416666666666667,6.0344827586206895,-72.61813635720306
0.10416666666666667,6.137931034482759,-72.2970775540706
0.10416666666666667,6.241379310344827,-71.9609140046002
0.10416666666666667,6.344827586206897,-71.61829264087339
0.10416666666666667,6.448275862068965,-71.27711841240915
0.10416666666666667,6.551724137931035,-70.93453273215692
0.10416666666666667,6.655172413793103,-70.60123469573539
0.10416666666666667,6.758620689655173,-70.27743801538637
0.10416666666666667,6.862068965517241,-69.96099831450672
0.10416666666666667,6.9655172413793105,-69.6474020822987
0.10416666666666667,7.068965517241379,-69.34375593872736
0.10416666666666667,7.172413793103448,-69.04246756671392
0.10416666666666667,7.275862068965518,-68.75890152400225
0.10416666666666667,7.379310344827586,-68.48547853159342
0.10416666666666667,7.482758620689655,-68.22761401547598
0.10416666666666667,7.586206896551724,-67.98879889649177
0.10416666666666667,7.689655172413794,-67.77103514040925
0.10416666666666667,7.793103448275862,-67.57686570996638
0.10416666666666667,7.896551724137931,-67.40797713519166
0.10416666666666667,8.0,-67.26649637186912
0.20833333333333334,5.0,-124.54576217919848
0.20833333333333334,5.103448275862069,-125.95112057761425
0.20833333333333334,5.206896551724138,-127.13058430625134
0.20833333333333334,5.310344827586207,-127.97312673610952
0.20833333333333334,5.413793103448276,-128.4475087677721
0.20833333333333334,5.517241379310345,-128.56295471383197
0.20833333333333334,5.620689655172414,-128.3609738294827
0.20833333333333334,5.724137931034483,-127.9133614647662
0.20833333333333334,5.827586206896552,-127.29691907752296
0.20833333333333334,5.931034482758621,-126.59072027828837
0.20833333333333334,6.0344827586206895,-125.84931800631013
0.20833333333333334,6.137931034482759,-125.11785397860903
0.20833333333333334,6.241379310344827,-124.41898275668102
0.20833333333333334,6.344827586206897,-123.76952169886583
0.20833333333333334,6.448275862068965,-123.16222536371792
0.20833333333333334,6.551724137931035,-122.59936558980866
0.20833333333333334,6.655172413793103,-122.06659337291082
0.20833333333333334,6.758620689655173,-121.54479825269395
0.20833333333333334,6.862068965517241,-121.02866910981174
0.20833333333333334,6.9655172413793105,-120.50217174999459
0.20833333333333334,7.068965517241379,-119.9667056179975
0.20833333333333334,7.172413793103448,-119.41723284698446
0.20833333333333334,7.275862068965518,-118.83706063699461
0.20833333333333334,7.379310344827586,-118.25758010573472
0.20833333333333334,7.482758620689655,-117.6706256638619
0.20833333333333334,7.586206896551724,-117.0912614009593
0.20833333333333334,7.689655172413794,-116.53322016773474
0.20833333333333334,7.793103448275862,-116.00515871239784
0.20833333333333334,7.896551724137931,-115.51544726941815
0.20833333333333334,8.0,-115.08816931616443
0.3125,5.0,-212.68461671093308
0.3125,5.103448275862069,-214.96815492956253
0.3125,5.206896551724138,-216.8563238298486
0.3125,5.310344827586207,-218.1085029672535
0.3125,5.413793103448276,-218.67983122848773
0.3125,5.517241379310345,-218.57535875187304
0.3125,5.620689655172414,-217.90902240969046
0.3125,5.724137931034483,-216.87193220543008
0.3125,5.827586206896552,-215.57286633245042
0.3125,5.931034482758621,-214.19838528825417
0.3125,6.0344827586206895,-212.85171273254926
0.3125,6.137931034482759,-211.61209068096997
0.3125,6.241379310344827,-210.51817348433244
0.3125,6.344827586206897,-209.60254559673226
0.3125,6.448275862068965,-208.8219607202948
0.3125,6.551724137931035,-208.15522168102027
0.3125,6.655172413793103,-207.54836254865114
0.3125,6.758620689655173,-206.96792175643637
0.3125,6.862068965517241,-206.38004230080873
0.3125,6.9655172413793105,-205.74361641199715
0.3125,7.068965517241379,-205.04106086972715
0.3125,7.172413793103448,-204.25995580956913
0.3125,7.275862068965518,-203.40268414558753
0.3125,7.379310344827586,-202.48992828310273
0.3125,7.482758620689655,-201.4965557777136
0.3125,7.586206896551724,-200.4694623520443
0.3125,7.689655172413794,-199.4646950024824
0.3125,7.793103448275862,-198.4597809039646
