A,T,r_fntsmc
0.0,5.0,-44.943358722092434
0.0,5.103448275862069,-44.943358722092434
0.0,5.206896551724138,-44.943358722092434
0.0,5.310344827586207,-44.943358722092434
0.0,5.413793103448276,-44.943358722092434
0.0,5.517241379310345,-44.943358722092434
0.0,5.620689655172414,-44.943358722092434
0.0,5.724137931034483,-44.943358722092434
0.0,5.827586206896552,-44.943358722092434
0.0,5.931034482758621,-44.943358722092434
0.0,6.0344827586206895,-44.943358722092434
0.0,6.137931034482759,-44.943358722092434
0.0,6.241379310344827,-44.943358722092434
0.0,6.344827586206897,-44.943358722092434
0.0,6.448275862068965,-44.943358722092434
0.0,6.551724137931035,-44.943358722092434
0.0,6.655172413793103,-44.943358722092434
0.0,6.758620689655173,-44.943358722092434
0.0,6.862068965517241,-44.943358722092434
0.0,6.9655172413793105,-44.943358722092434
0.0,7.068965517241379,-44.943358722092434
0.0,7.172413793103448,-44.943358722092434
0.0,7.275862068965518,-44.943358722092434
0.0,7.379310344827586,-44.943358722092434
0.0,7.482758620689655,-44.943358722092434
0.0,7.586206896551724,-44.943358722092434
0.0,7.689655172413794,-44.943358722092434
0.0,7.793103448275862,-44.943358722092434
0.0,7.896551724137931,-44.943358722092434
0.0,8.0,-44.943358722092434
0.10416666666666667,5.0,-63.65893004153643
0.10416666666666667,5.103448275862069,-64.17818175050067
0.10416666666666667,5.206896551724138,-64.61996580059262
0.10416666666666667,5.310344827586207,-64.95038342390846
0.10416666666666667,5.413793103448276,-65.15421801119295
0.10416666666666667,5.517241379310345,-65.2321349342888
0.10416666666666667,5.620689655172414,-65.19655029739651
0.10416666666666667,5.724137931034483,-65.06661542283733
0.10416666666666667,5.827586206896552,-64.86565177191589
0.10416666666666667,5.931034482758621,-64.61472048189968
0.10416666666666667,6.0344827586206895,-64.33352859480424
0.10416666666666667,6.137931034482759,-64.03757713624503
0.10416666666666667,6.241379310344827,-63.73776106184618
0.10416666666666667,6.344827586206897,-63.44220869675027
0.10416666666666667,6.448275862068965,-63.15470108910204
0.10416666666666667,6.551724137931035,-62.876835167655194
0.10416666666666667,6.655172413793103,-62.60950153622423
0.10416666666666667,6.758620689655173,-62.35133762699172
0.10416666666666667,6.862068965517241,-62.10120920398256
0.10416666666666667,6.9655172413793105,-61.859481380156566
0.10416666666666667,7.068965517241379,-61.62176488391675
0.10416666666666667,7.172413793103448,-61.3925044020029
0.10416666666666667,7.275862068965518,-61.169146003269766
0.10416666666666667,7.379310344827586,-60.95611775418499
0.10416666666666667,7.482758620689655,-60.7553606056244
0.10416666666666667,7.586206896551724,-60.568138816526975
0.10416666666666667,7.689655172413794,-60.396420819093414
0.10416666666666667,7.793103448275862,-60.244616809109154
0.10416666666666667,7.896551724137931,-60.112509722902125
0.10416666666666667,8.0,-60.00316784710996
0.20833333333333334,5.0,-117.30935885230687
0.20833333333333334,5.103448275862069,-118.46581188621352
0.20833333333333334,5.206896551724138,-119.40987961193808
0.20833333333333334,5.310344827586207,-120.06114417999555
0.20833333333333334,5.413793103448276,-120.36778428005718
0.20833333333333334,5.517241379310345,-120.33499258294881
0.20833333333333334,5.620689655172414,-120.0316075015512
0.20833333333333334,5.724137931034483,-119.51485052190114
0.20833333333333334,5.827586206896552,-118.8628946450514
0.20833333333333334,5.931034482758621,-118.14196367659592
0.20833333333333334,6.0344827586206895,-117.42121612632378
0.20833333333333334,6.137931034482759,-116.73592677130588
0.20833333333333334,6.241379310344827,-116.10932403933819
0.20833333333333334,6.344827586206897,-115.55276435270528
0.20833333333333334,6.448275862068965,-115.05530976516533
0.20833333333333334,6.551724137931035,-114.61184390274036
0.20833333333333334,6.655172413793103,-114.21019574729986
0.20833333333333334,6.758620689655173,-113.82908383651034
0.20833333333333334,6.862068965517241,-113.44366064232027
0.20833333333333334,6.9655172413793105,-113.05673019212023
0.20833333333333334,7.068965517241379,-112.6525111128653
0.20833333333333334,7.172413793103448,-112.22918705530257
0.20833333333333334,7.275862068965518,-111.78450718525121
0.20833333333333334,7.379310344827586,-111.32481510247506
0.20833333333333334,7.482758620689655,-110.8546051147718
0.20833333333333334,7.586206896551724,-110.38322182038411
0.20833333333333334,7.689655172413794,-109.91562742569826
0.20833333333333334,7.793103448275862,-109.46979559686831
0.20833333333333334,7.896551724137931,-109.05362524171031
0.20833333333333334,8.0,-108.6770975498984
0.3125,5.0,-206.10242440865898
0.3125,5.103448275862069,-208.01562992762558
0.3125,5.206896551724138,-209.53632224429694
0.3125,5.310344827586207,-210.4850621041377
0.3125,5.413793103448276,-210.78264226910892
0.3125,5.517241379310345,-210.46307432847217
0.3125,5.620689655172414,-209.64209240916765
0.3125,5.724137931034483,-208.4695962980917
0.3125,5.827586206896552,-207.10784265608672
0.3125,5.931034482758621,-205.71212537496785
0.3125,6.0344827586206895,-204.3976033683293
0.3125,6.137931034482759,-203.23317796912877
0.3125,6.241379310344827,-202.25231993628725
0.3125,6.344827586206897,-201.45105724195375
0.3125,6.448275862068965,-200.83807775467906
0.3125,6.551724137931035,-200.33978909847988
0.3125,6.655172413793103,-199.92174614503435
0.3125,6.758620689655173,-199.5493639359096
0.3125,6.862068965517241,-199.16149108192897
0.3125,6.9655172413793105,-198.72957180524173
0.3125,7.068965517241379,-198.2287318940249
0.3125,7.172413793103448,-197.64520712235029
0.3125,7.275862068965518,-196.9757071242358
0.3125,7.379310344827586,-196.22642128849037
0.3125,7.482758620689655,-195.4113470726456
0.3125,7.586206896551724,-194.55027340130823
0.3125,7.689655172413794,-193.66348053283625
0.3125,7.793103448275862,-192.78154434481908
0.3125,7.896551724137931,-191.926712724173
0.3125,8.0,-191.128147969937
0.4166666666666667,5.0,-329.91457193477044
0.4166666666666667,5.103448275862069,-332.72544370377966
0.4166666666666667,5.206896551724138,-334.888013188967
0.4166666666666667,5.310344827586207,-336.1148794686269
0.4166666666666667,5.413793103448276,-336.295858746614
0.4166666666666667,5.517241379310345,-335.52235519412346
0.4166666666666667,5.620689655172414,-333.94557677865834
0.4166666666666667,5.724137931034483,-331.8585261062875
0.4166666666666667,5.827586206896552,-329.55451272687077
0.4166666666666667,5.931034482758621,-327.26889533701694
0.4166666666666667,6.0344827586206895,-325.19345789215885
0.4166666666666667,6.137931034482759,-323.446961503105
0.4166666666666667,6.241379310344827,-322.0799673466654
0.4166666666666667,6.344827586206897,-321.0777772667352
0.4166666666666667,6.448275862068965,-320.4041957863056
0.4166666666666667,6.551724137931035,-319.964544408555
0.4166666666666667,6.655172413793103,-319.67654462204246
0.4166666666666667,6.758620689655173,-319.43373357330313
0.4166666666666667,6.862068965517241,-319.16249314277337
0.4166666666666667,6.9655172413793105,-318.78744592082484
0.4166666666666667,7.068965517241379,-318.2614723043549
0.4166666666666667,7.172413793103448,-317.5562283488641
0.4166666666666667,7.275862068965518,-316.66328933653074
0.4166666666666667,7.379310344827586,-315.5886900923131
0.4166666666666667,7.482758620689655,-314.36101509696687
0.4166666666666667,7.586206896551724,-313.0248935817464
0.4166666666666667,7.689655172413794,-311.600201622316
0.4166666666666667,7.793103448275862,-310.12883285813336
0.4166666666666667,7.896551724137931,-308.6914244436624
0.4166666666666667,8.0,-307.31016891145003
0.5208333333333334,5.0,-488.7235916208159
0.5208333333333334,5.103448275862069,-492.51821704448673
0.5208333333333334,5.206896551724138,-495.399134532424
0.5208333333333334,5.310344827586207,-496.86951872396344
0.5208333333333334,5.413793103448276,-496.8239258174363
0.5208333333333334,5.517241379310345,-495.3766293086489
0.5208333333333334,5.620689655172414,-492.7800780671344
