time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.01,8.65162924083202e-05,0.00011786317675500208,1.2494582905438842e-05,0.01710700606445083,0.023395303119506345,0.0024967705018744783,0.01082446110955431,-0.012049950768721632,0.0024571382501560207,2.168882125855765,-2.404617089734657,0.5043481193112961
0.02,0.000336036204813363,0.000462536000859319,9.016763158952335e-05,0.03239067958680657,0.04516894208228678,0.013020321542577722,0.03155259905265578,-0.035429666900981704,0.009167449915386617,2.0117435245422794,-2.2390267656754195,0.9361044589145737
0.03,0.0007256583356243696,0.0010132829362698174,0.00032971557527377443,0.04513787150368552,0.0646125325075867,0.03485602418071739,0.04970322540262788,-0.05655770277602139,0.019490097836223075,1.7157119832198398,-1.8972702214094481,1.296125480563074
0.04,0.001230146873283345,0.0017464668583656298,0.0008336621309288999,0.05541236477276569,0.0816889601309264,0.06589120201507775,0.06440284938683219,-0.07443825924852442,0.03283931442307435,1.4005121364899942,-1.5198266455146878,1.567499130110568
0.05,0.0018262849997756918,0.0026392241068024496,0.0016845338552511648,0.06353654529302659,0.09657726618173627,0.10424010445015963,0.07548705988215909,-0.0887719635417642,0.048575997013229164,1.0738138797518222,-1.119967925351945,1.7619418893381957
0.060000000000000005,0.00249482426511953,0.0036711523332744263,0.0029486166631760343,0.06997467709048454,0.10958721143234698,0.1485399510271711,0.08291021276226393,-0.09932218151646344,0.0661414179986385,0.7412430326555606,-0.7064391403200849,1.8914695489277609
0.07,0.0032216457236440652,0.004825472837348156,0.0046800022364794115,0.0752818613491579,0.12112997101081655,0.19771302427948687,0.08676576304370683,-0.10596334077929755,0.08504596832958419,0.41755095570255496,-0.29825716022987986,1.96843220147811
0.08,0.003998404335327353,0.006089867731603465,0.00692284647234951,0.08004886342962307,0.1316797178040367,0.25084687175616993,0.0873717737918146,-0.10883614676341567,0.10486944858022945,0.1288145483008742,0.06859879001366659,2.00833050384778
0.09,0.004822520389551759,0.007456811682468428,0.009712784139029,0.0848247139976313,0.14170914968925483,0.3071455121316776,0.08538222395016638,-0.10858360150244044,0.12529688243969653,-0.08334916309043813,0.3320192872227502,2.0334532675498576
0.09999999999999999,0.0056962536828130015,0.008923092975765747,0.013078039045979062,0.0900112680892722,0.15159164081602705,0.3659182598812568,0.0818817240762261,-0.10656569371116327,0.1461434435930391,-0.1690689549290258,0.41637128655630085,2.0635164420819674
0.10999999999999999,0.00662476357806696,0.010488253359143744,0.017040950550586513,0.09579854027222744,0.16149798587798553,0.4266793319048757,0.07810350191233992,-0.10372115590776322,0.16730482233980648,-0.14240509635001622,0.4869748151288951,2.086504350746225
0.11999999999999998,0.007614843442417713,0.012152754878879242,0.021619449900896138,0.10236284043006845,0.17147754830477055,0.48904004510124843,0.07407610967753105,-0.09926770425949541,0.18867460072876022,-0.22993307224886728,0.7242425501165698,2.0854381455305733
0.12999999999999998,0.008675797366116473,0.013918130863217453,0.02682803716302351,0.11003664522760612,0.18172355455057482,0.5527051937274874,0.06888729462890186,-0.09195752468105037,0.21013441777586184,-0.3978935586466319,1.0390534940796294,2.0715263705328444
0.13999999999999999,0.009820745853901728,0.015788637739575298,0.03267911075870904,0.1192306128157298,0.19257146726470797,0.6175450527175288,0.06216116235953558,-0.08138628287693318,0.2315827147986867,-0.5757592121428546,1.3503302035822844,2.054354758549072
