time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.002824075694314251,0.004689768508264736,0.010000571427460983,0.2783354945154652,0.4709040820298576,0.9989883549803643
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.010834173990399645,0.01792428489573405,0.03651413211160834,0.4897166496423893,0.8718092790577363,1.6428231750683988
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.023148260964028826,0.03821113863577446,0.07380464385510799,0.6340445387163062,1.2208746079602288,2.049524246513667
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03898961068676633,0.06428115000592649,0.1180966024687822,0.7207148029123033,1.5226768432818742,2.290525967413241
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05770877487974965,0.09499410383317969,0.16682602407475333,0.7617422232169326,1.7795995539048421,2.4126601130739354
0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.07885162795642062,0.12932811090141105,0.21822417153443116,0.77618334019352,1.9935735755931756,2.44857688229065
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.10214818860709417,0.16637024531975378,0.2710651719401468,0.7746478231299078,2.166756084685406,2.421677372370945
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.12739489697147605,0.20530805380194164,0.32449902072688735,0.7628658465805931,2.3014714004223364,2.349298529419726
0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.15440760937991538,0.24542146160096223,0.37793832195575433,0.744838508347513,2.4001491308685186,2.2446922472613444
0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.18300935105367144,0.2860750125241468,0.4309797617103866,0.723233376976535,2.465311448102937,2.11821096151427
0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.21302213347842355,0.32671063758695884,0.48334843261656846,0.6996488559941987,2.499559152906506,1.9780855630535714
0.23999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.24425983806109225,0.3668410009000464,0.5348581666659902,0.6747530062946542,2.505557994613774,1.8309609854973528
0.25999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.2765144398019624,0.4060434235378413,0.5853834085988858,0.6477513507005855,2.486016216721829,1.6822808248346515
0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.30951253190800554,0.44395446082196555,0.6348392157377812,0.6141845896699467,2.443624561376843,1.5365996632552223
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.34295456079646064,0.48026451306818974,0.6831690310881773,0.5764903303926489,2.3811349264292603,1.397929304249472
0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.3766290531465816,0.5146343957075258,0.7303365643759743,0.5412033037403459,2.2942022994889295,1.2719730548030173
0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.4103485390968244,0.5468355551806643,0.7762427614323122,0.5080874580367958,2.196925765382071,1.150240530774688
0.36000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.4439062762657704,0.5768293482972445,0.8208158234754659,0.4739190399636562,2.094880649330573,1.0407410755540965
0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.47713431010563734,0.6046021688323145,0.8641625771660497,0.4352373839064175,1.9924118104698492,0.9502527940784606
0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5098998883075011,0.6301405979609291,0.9064337034095071,0.39466864204110613,1.889034224655115,0.8755583576662376
0.4200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5420925582507512,0.653422574502158,0.9477010096494352,0.3544994618607438,1.7837297441895978,0.8144085322735518
0.4400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5736178507074975,0.6744227636850758,0.9879100922211405,0.3204988265020022,1.6739885987769514,0.7607015691191725
0.46000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.6043944630174669,0.6930941442057109,1.026921953987177,0.2928543526648888,1.5583378899000406,0.7167717719899803
0.48000000000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.6343541123895815,0.7093698692978849,1.0646281012258443,0.2704871139239508,1.4391820824644677,0.6842724610509893
0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6634425463279139,0.7231581887228165,1.1009642269000686,0.25254831742320955,1.315532293102717,0.6662528057950433
0.5200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.691618412930256,0.7343479688468046,1.1358972820104154,0.2385336611131328,1.1898911202057416,0.6628051870460634
0.5400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.718863666181429,0.742875149106795,1.169419340025738,0.2288456750890827,1.066120265783606,0.6719039457786933
0.5600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.745168506043118,0.7487655989908125,1.2015382444646867,0.22187821494825644,0.9489164342808576,0.6893293144257872
0.5800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7705486804280779,0.7520570273222051,1.2322896325156416,0.21879394829495938,0.8362397407105782,0.7180869753294963
0.6000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7950430182783752,0.7527564654491838,1.2616914660666303,0.22103305738091458,0.7272842605891929,0.754362885664457
0.6200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.8186538284008487,0.7509042283094198,1.2897593056120744,0.22279234750250518,0.6251762792082547,0.7976936058692053
0.6400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.8414005885005282,0.7465753778331091,1.3165346197899672,0.22897130250042377,0.5302652366504222,0.8454526653928828
0.6600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.8633453002682399,0.7398626873494991,1.342027279352095,0.24025595579882877,0.4411636528949649,0.8953761683575068
0.6800000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.8844996185831427,0.7308693614591997,1.366232631290871,0.2511104165851014,0.3583197643132928,0.9463871902864381
0.7000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9048758464497157,0.7197153467274626,1.3891503866112846,0.26604727548082635,0.28156299231480203,0.9968040693539802
0.7200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9245307962596041,0.7065316150380937,1.4107712531627554,0.284826977378462,0.21010359464913386,1.0453988834002024
0.7400000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.94350811318404,0.691454843175844,1.4310779437821877,0.3061104896502778,0.14340889634657816,1.0911046461043612
0.7600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9618351171174683,0.6746483644307367,1.4500509928144116,0.3289342659607915,0.08215507942440223,1.1314137697006148
0.7800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9795335641094933,0.6562612823409505,1.4676693382135206,0.35298949664731766,0.023394395982574118,1.1687210278721507
0.8000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9966223450599018,0.6364073946260498,1.4839089976035968,0.3777085749106035,-0.033321417517833296,1.2024520494743758
0.8200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0131157393229706,0.6152399291320155,1.4987467131400574,0.4023740089626189,-0.08645141008510965,1.2291232028751484
0.8400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.029022749302183,0.592900476087687,1.5121593020082447,0.426387219642531,-0.13928869072908306,1.2524636851734998
0.8600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.044347146519886,0.5694750488315204,1.5241214661739488,0.4492064994003036,-0.19255578127872536,1.2728410546044986
