A,T,r_rl
0.17453292519943295,3.0,-0.09330478630399633
0.17453292519943295,3.75,-0.06462707639957721
0.17453292519943295,4.5,-0.04945847542193236
0.17453292519943295,5.25,-0.0401154206921524
0.17453292519943295,6.0,-0.034038326063476704
0.29088820866572157,3.0,-5.907931042596005
0.29088820866572157,3.75,-0.18019253606764177
0.29088820866572157,4.5,-0.11474647557005872
0.29088820866572157,5.25,-0.08112783348501997
0.29088820866572157,6.0,-0.06499861472693509
0.40724349213201017,3.0,-0.2831146546344895
0.40724349213201017,3.75,-6.303338597800444
0.40724349213201017,4.5,-0.2573626258421721
0.40724349213201017,5.25,-0.16792359067124024
0.40724349213201017,6.0,-0.12361014010953997
0.5235987755982988,3.0,-0.35510191718528555
0.5235987755982988,3.75,-0.29829768106476934
0.5235987755982988,4.5,-6.276449582273606
0.5235987755982988,5.25,-5.926403164254929
0.5235987755982988,6.0,-0.21015810036847565
0.6399540590645875,3.0,-0.5351664447338105
0.6399540590645875,3.75,-0.2972705916812293
0.6399540590645875,4.5,-0.3156065595535285
0.6399540590645875,5.25,-0.2986386627287744
0.6399540590645875,6.0,-5.756139826187422
0.7563093425308761,3.0,-0.7472587076032147
0.7563093425308761,3.75,-0.4153937091699588
0.7563093425308761,4.5,-0.277729077969681
0.7563093425308761,5.25,-0.31846982266204305
0.7563093425308761,6.0,-0.3168811744276131
0.8726646259971647,3.0,-0.9879932759907808
0.8726646259971647,3.75,-0.5545721096614303
0.8726646259971647,4.5,-0.36381699154252467
0.8726646259971647,5.25,-0.24917753703335144
0.8726646259971647,6.0,-0.19787886511889524
0.9890199094634533,3.0,-1.252535110026675
0.9890199094634533,3.75,-0.7043984539932621
0.9890199094634533,4.5,-0.46695142554318414
0.9890199094634533,5.25,-0.31449276574548746
0.9890199094634533,6.0,-0.2518033830430713
1.105375192929742,3.0,-1.5607666688769026
1.105375192929742,3.75,-0.8803011549321902
1.105375192929742,4.5,-0.5764068616962733
1.105375192929742,5.25,-0.3830398439566725
1.105375192929742,6.0,-0.2971936495837316
1.2217304763960306,3.0,-1.9125818194246513
1.2217304763960306,3.75,-1.0843044757996103
1.2217304763960306,4.5,-0.7105990916704789
1.2217304763960306,5.25,-5.832558084935345
1.2217304763960306,6.0,-0.3626563051303028
