A,T,r_fntsmc
0.17453292519943295,3.0,-0.16808349298121425
0.17453292519943295,3.75,-0.12263734373290515
0.17453292519943295,4.5,-0.09542668914227027
0.17453292519943295,5.25,-0.07795176319614955
0.17453292519943295,6.0,-0.06623631036387115
0.29088820866572157,3.0,-0.35797557922431483
0.29088820866572157,3.75,-0.2470991567385472
0.29088820866572157,4.5,-0.18436075853400727
0.29088820866572157,5.25,-0.14549303056711538
0.29088820866572157,6.0,-0.12122028297213013
0.40724349213201017,3.0,-0.6278296896986555
0.40724349213201017,3.75,-0.4194951843419376
0.40724349213201017,4.5,-0.30395683930359096
0.40724349213201017,5.25,-0.23316773326328624
0.40724349213201017,6.0,-0.19047048724646337
0.5235987755982988,3.0,-0.9796180679042265
0.5235987755982988,3.75,-0.6428167752840676
0.5235987755982988,4.5,-0.45754617163547556
0.5235987755982988,5.25,-0.3442578555682314
0.5235987755982988,6.0,-0.2770475218138209
0.6399540590645875,3.0,-1.4132638561059225
0.6399540590645875,3.75,-0.9175897757402042
0.6399540590645875,4.5,-0.6460796489542827
0.6399540590645875,5.25,-0.47996692773793836
0.6399540590645875,6.0,-0.38227346912652976
0.7563093425308761,3.0,-1.9287462732858531
0.7563093425308761,3.75,-1.2437796053272046
0.7563093425308761,4.5,-0.8697179609615837
0.7563093425308761,5.25,-0.6406338504958353
0.7563093425308761,6.0,-0.5066461260946924
0.8726646259971647,3.0,-2.5265521821449597
0.8726646259971647,3.75,-1.6213323134330397
0.8726646259971647,4.5,-1.128399307775643
0.8726646259971647,5.25,-0.8262327145110976
0.8726646259971647,6.0,-0.6502719966638866
0.9890199094634533,3.0,-3.207374814925024
0.9890199094634533,3.75,-2.0500695780727183
0.9890199094634533,4.5,-1.4219746410579055
0.9890199094634533,5.25,-1.0365309612048172
0.9890199094634533,6.0,-0.8130330704016236
1.105375192929742,3.0,-3.9731793318947415
1.105375192929742,3.75,-2.529646355073472
1.105375192929742,4.5,-1.750165491817511
1.105375192929742,5.25,-1.2710900465300783
1.105375192929742,6.0,-0.994604313576726
1.2217304763960306,3.0,-4.828511403383768
1.2217304763960306,3.75,-3.061117904565407
1.2217304763960306,4.5,-2.113344241189083
1.2217304763960306,5.25,-1.5294624963701753
1.2217304763960306,6.0,-1.1944550540999261
