time,in1,in2,in3,in1_obs,in2_obs,in3_obs,in1_e_1st,in2_e_1st,in3_e_1st,out1,out2,out3,out1_obs,out2_obs,out3_obs,out1_e_1st,out2_e_1st,out3_e_1st
0.01,0.0,0.0,1.0209707452788745,0.0,0.0,0.0,0.0,0.0,0.0,1.7499999999999998,2.3749999999999996,0.24999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,1.0692578181252907,0.0,0.0,0.24297337784070966,0.04339468668396407,0.020835959444248073,0.001737988585249165,1.7789482138005945,2.40431377531835,0.2953798380843801,0.06219828292609426,0.06630526351389003,0.038018480175632495,8.920592197589523e-05,0.00011520521151811814,1.2452573398655678e-05
0.03,0.0,0.0,1.1059241694564708,0.0,0.0,0.5465055530126659,0.10936674388647413,0.04907271909366316,0.004232832577695412,1.8068463711526908,2.429345300412927,0.33720867696868245,0.14405578960140147,0.14969025978726697,0.09334369866831266,0.0002676172803177448,0.0002881587149962387,5.5843503223530026e-05
0.04,0.0,0.0,1.1314223969981299,0.0,0.0,0.243641845110597,0.05929753803563495,0.01804839942590772,-0.0041956677976604465,1.8336350826431613,2.4499850155114076,0.3754025763251853,0.23890075001133598,0.24159373567416884,0.1658396405259786,0.0004823220785182989,0.00042521429148015445,0.0001646398228691216
0.05,0.0,0.0,1.1473918173333213,0.0,0.0,-0.08675295973377578,0.015010383595468746,-0.0048496747302247956,-0.005942168923155593,1.8592591118982353,2.4661335386987187,0.4098915805732768,0.3429047092627506,0.33856970746119647,0.2504424737755762,0.000697396227686686,0.0005271529792770467,0.00030536533410862297
0.060000000000000005,0.0,0.0,1.155228106495178,0.0,0.0,-0.3648846121068181,-0.016541415283017946,-0.014111009697698684,-0.002984103061186589,1.883667481483729,2.477702097933117,0.4406198156141647,0.45347654653301783,0.43879375402992565,0.34240214491231374,0.000890960002268204,0.0006014061128372444,0.0004262552509566072
0.07,0.0,0.0,1.1559793317877036,0.0,0.0,-0.17363640683825904,-0.03245220672358318,-0.016555651425115697,0.0006671164159387545,1.906813562746581,2.484612936986607,0.4675455311914492,0.5687018092802918,0.5412786269426344,0.4383222308576892,0.0010506811300811597,0.0006575354493375085,0.0005045664165875628
0.08,0.0,0.0,1.1503881095026856,0.0,0.0,0.0894316010757834,-0.040958110466805364,-0.015478651018275807,0.002388274814742141,1.928655149490348,2.4867996935841834,0.49064108910591636,0.6870854327307673,0.6455322550158611,0.5355984923265971,0.0011707026958785154,0.0007041169746222677,0.0005337127644588534
0.09,0.0,0.0,1.1389248708288273,0.0,0.0,0.3633347434315384,-0.044351823257126166,-0.012490270869065179,0.002806727264212973,1.9491545154388894,2.4842077480913285,0.5098928977230585,0.8074040772538671,0.7513773117449454,0.6319997522272248,0.0012491420450799519,0.0007481047704721239,0.0005147672911548279
0.09999999999999999,0.0,0.0,1.1218223038470443,0.0,0.0,0.6276759283645434,-0.0439091616541476,-0.008609945910935418,0.0024348459223164295,1.9682784555036965,2.476794541180958,0.5253012934193718,0.9286145715611553,0.8588205765508699,0.7253736972448145,0.0012865924346790267,0.0007943225464583618,0.0004530883922145273
0.10999999999999999,0.0,0.0,1.0991171606839407,0.0,0.0,0.865896091466306,-0.04069515190800116,-0.004555095486359018,0.001605928572361387,1.9859983109309536,2.464529858999426,0.5368803698176257,1.0497961327153051,0.9679359591302078,0.813387061547009,0.001285364427163576,0.0008449364057525335,0.0003576634758144827
0.11999999999999998,0.0,0.0,1.0707290225834987,0.0,0.0,1.0533299340224722,-0.0357081888388488,-0.0008900097849893485,0.0006154661741003264,2.002289978464202,2.4473960844459532,0.5446577558612231,1.1701131220520165,1.0787718800372657,0.8931296737457693,0.0012490733102548703,0.0008995022216771553,0.0002410138146435887
0.12999999999999998,0.0,0.0,1.036756638253928,0.0,0.0,0.9026141016109654,-0.02961585442044168,0.0017444206822718744,-0.0002573046652121769,2.017133903717226,2.4253884132806225,0.5486743439727317,1.2887834222230483,1.1913097753125252,0.9597955224867742,0.0011820838057297507,0.0009560382281068435,0.00011773179199824416
0.13999999999999999,0.0,0.0,0.9979911340608274,0.0,0.0,0.7214712134043004,-0.02194431005390196,0.0026485944720106847,-0.0005369048245150998,2.0305150590092214,2.398515033882625,0.5489839697308813,1.4050521058024503,1.3054379419053035,0.9909799989131314,0.0010892589205762741,0.0010112335421614879,5.636816945261275e-06
0.15,0.0,0.0,0.9549118300350554,0.0,0.0,0.5399683666434159,-0.01065770123421056,0.002742518166856417,-0.0005411852092628566,2.0424229059702825,2.3667972695923143,0.54565304468308,1.5181763599649074,1.4208901614122316,0.9346296158300365,0.0009761195692497421,0.0010589836372435456,-6.009904838294097e-05
0.16,0.0,0.0,0.9071013709841671,0.0,0.0,0.3754078580234429,0.0014550839668678872,0.0021397278558069055,-0.00036569130847331766,2.052851343279483,2.3302696826875318,0.5387601440860976,1.6274400836912504,1.5371307568107542,0.8759177270989355,0.000849540510488779,0.0010882067295438051,-7.082462938356321e-05
0.17,0.0,0.0,0.8545203838766771,0.0,0.0,0.23168935823220932,0.004748803594054385,0.0014486792708354457,-0.00021274671116539023,2.0617986399501795,2.2889801391661537,0.5283955515353107,1.7321391516456845,1.653436985568772,0.8188815126146697,0.0007162281172009705,0.0010906665647667652,-6.307872088511662e-05
0.18000000000000002,0.0,0.0,0.7976578695751158,0.0,0.0,0.11109193137182634,0.004788568439123869,0.0009578321240678589,-0.00010547859118911762,2.0692673546274216,2.242989833632521,0.5146607626021895,1.8314548769311747,1.7691323051120578,0.7645952002831911,0.0005798987574255551,0.0010679311728350443,-5.176562575354843e-05
