A,T,r_fntsmc_obs
0.0,5.0,-49.777639673631185
0.0,5.103448275862069,-49.777639673631185
0.0,5.206896551724138,-49.777639673631185
0.0,5.310344827586207,-49.777639673631185
0.0,5.413793103448276,-49.777639673631185
0.0,5.517241379310345,-49.777639673631185
0.0,5.620689655172414,-49.777639673631185
0.0,5.724137931034483,-49.777639673631185
0.0,5.827586206896552,-49.777639673631185
0.0,5.931034482758621,-49.777639673631185
0.0,6.0344827586206895,-49.777639673631185
0.0,6.137931034482759,-49.777639673631185
0.0,6.241379310344827,-49.777639673631185
0.0,6.344827586206897,-49.777639673631185
0.0,6.448275862068965,-49.777639673631185
0.0,6.551724137931035,-49.777639673631185
0.0,6.655172413793103,-49.777639673631185
0.0,6.758620689655173,-49.777639673631185
0.0,6.862068965517241,-49.777639673631185
0.0,6.9655172413793105,-49.777639673631185
0.0,7.068965517241379,-49.777639673631185
0.0,7.172413793103448,-49.777639673631185
0.0,7.275862068965518,-49.777639673631185
0.0,7.379310344827586,-49.777639673631185
0.0,7.482758620689655,-49.777639673631185
0.0,7.586206896551724,-49.777639673631185
0.0,7.689655172413794,-49.777639673631185
0.0,7.793103448275862,-49.777639673631185
0.0,7.896551724137931,-49.777639673631185
0.0,8.0,-49.777639673631185
0.10416666666666667,5.0,-67.75813019837568
0.10416666666666667,5.103448275862069,-68.3168452850465
0.10416666666666667,5.206896551724138,-68.80595960081715
0.10416666666666667,5.310344827586207,-69.19106750846124
0.10416666666666667,5.413793103448276,-69.45398405695579
0.10416666666666667,5.517241379310345,-69.59111678895904
0.10416666666666667,5.620689655172414,-69.61286198848423
0.10416666666666667,5.724137931034483,-69.53764961002736
0.10416666666666667,5.827586206896552,-69.38546041661999
0.10416666666666667,5.931034482758621,-69.17704358295771
0.10416666666666667,6.0344827586206895,-68.93108391713552
0.10416666666666667,6.137931034482759,-68.6642938106897
0.10416666666666667,6.241379310344827,-68.38609608643226
0.10416666666666667,6.344827586206897,-68.10536150020047
0.10416666666666667,6.448275862068965,-67.82640938204776
0.10416666666666667,6.551724137931035,-67.55039352691352
0.10416666666666667,6.655172413793103,-67.27856934550883
0.10416666666666667,6.758620689655173,-67.01069335845708
0.10416666666666667,6.862068965517241,-66.74629853375413
0.10416666666666667,6.9655172413793105,-66.48111297588324
0.10416666666666667,7.068965517241379,-66.22386527279124
0.10416666666666667,7.172413793103448,-65.97125145598321
0.10416666666666667,7.275862068965518,-65.72465804647585
0.10416666666666667,7.379310344827586,-65.48663251672953
0.10416666666666667,7.482758620689655,-65.26247777499434
0.10416666666666667,7.586206896551724,-65.04694859183486
0.10416666666666667,7.689655172413794,-64.84978772734485
0.10416666666666667,7.793103448275862,-64.67166412281226
0.10416666666666667,7.896551724137931,-64.51518648902184
0.10416666666666667,8.0,-64.38166252837927
0.20833333333333334,5.0,-120.84268304080017
0.20833333333333334,5.103448275862069,-122.06801906964257
0.20833333333333334,5.206896551724138,-123.10005445336586
0.20833333333333334,5.310344827586207,-123.85091620585764
0.20833333333333334,5.413793103448276,-124.251752510739
0.20833333333333334,5.517241379310345,-124.33549944819222
0.20833333333333334,5.620689655172414,-124.14664876510884
0.20833333333333334,5.724137931034483,-123.72352488314591
0.20833333333333334,5.827586206896552,-123.16205862776708
0.20833333333333334,5.931034482758621,-122.52946776322392
0.20833333333333334,6.0344827586206895,-121.87895919932262
0.20833333333333334,6.137931034482759,-121.24939015748382
0.20833333333333334,6.241379310344827,-120.66233994371926
0.20833333333333334,6.344827586206897,-120.13305362698506
0.20833333333333334,6.448275862068965,-119.65185185563362
0.20833333333333334,6.551724137931035,-119.21060020753977
0.20833333333333334,6.655172413793103,-118.79519756501689
0.20833333333333334,6.758620689655173,-118.39028365615832
0.20833333333333334,6.862068965517241,-117.9813250237764
0.20833333333333334,6.9655172413793105,-117.5600063351338
0.20833333333333334,7.068965517241379,-117.1168122799283
0.20833333333333334,7.172413793103448,-116.64631328107066
0.20833333333333334,7.275862068965518,-116.14988431270542
0.20833333333333334,7.379310344827586,-115.63514274028744
0.20833333333333334,7.482758620689655,-115.10840072499194
0.20833333333333334,7.586206896551724,-114.5787249182993
0.20833333333333334,7.689655172413794,-114.06230147339613
0.20833333333333334,7.793103448275862,-113.56586483946667
0.20833333333333334,7.896551724137931,-113.10035732297966
0.20833333333333334,8.0,-112.67702346325456
0.3125,5.0,-209.1223489192245
0.3125,5.103448275862069,-211.1492148704545
0.3125,5.206896551724138,-212.81458431123846
0.3125,5.310344827586207,-213.88258561419917
0.3125,5.413793103448276,-214.34364281904493
0.3125,5.517241379310345,-214.19256274775674
0.3125,5.620689655172414,-213.53585363430997
0.3125,5.724137931034483,-212.517826342642
0.3125,5.827586206896552,-211.30146158784717
0.3125,5.931034482758621,-210.02776605839168
0.3125,6.0344827586206895,-208.80193385010418
0.3125,6.137931034482759,-207.7142721413098
0.3125,6.241379310344827,-206.7960580449351
0.3125,6.344827586206897,-206.0409252451545
0.3125,6.448275862068965,-205.44375848900856
0.3125,6.551724137931035,-204.942775004967
0.3125,6.655172413793103,-204.51176913535417
0.3125,6.758620689655173,-204.09924795937295
0.3125,6.862068965517241,-203.66950524614063
0.3125,6.9655172413793105,-203.180041723973
0.3125,7.068965517241379,-202.6250860424708
0.3125,7.172413793103448,-201.96572585170912
0.3125,7.275862068965518,-201.21164892753788
0.3125,7.379310344827586,-200.38211240219047
0.3125,7.482758620689655,-199.48642288970973
0.3125,7.586206896551724,-198.54296867091514
0.3125,7.689655172413794,-197.5783332778471
0.3125,7.793103448275862,-196.62161367020695
0.3125,7.896551724137931,-195.68118994340978
0.3125,8.0,-194.82646380822473
0.4166666666666667,5.0,-332.44458201684057
0.4166666666666667,5.103448275862069,-335.38794951308745
0.4166666666666667,5.206896551724138,-337.73934781152417
0.4166666666666667,5.310344827586207,-339.17116780458684
0.4166666666666667,5.413793103448276,-339.56965236434985
0.4166666666666667,5.517241379310345,-338.98719820428727
0.4166666666666667,5.620689655172414,-337.62884368146604
0.4166666666666667,5.724137931034483,-335.7448047149967
0.4166666666666667,5.827586206896552,-333.62145183624773
0.4166666666666667,5.931034482758621,-331.4960454333747
0.4166666666666667,6.0344827586206895,-329.5502286006563
0.4166666666666667,6.137931034482759,-327.9094269387477
0.4166666666666667,6.241379310344827,-326.6344383098029
0.4166666666666667,6.344827586206897,-325.6906582402786
0.4166666666666667,6.448275862068965,-325.03751306385794
0.4166666666666667,6.551724137931035,-324.5925884307967
0.4166666666666667,6.655172413793103,-324.27953986586414
0.4166666666666667,6.758620689655173,-323.9984613556209
0.4166666666666667,6.862068965517241,-323.67972780573945
0.4166666666666667,6.9655172413793105,-323.23328402760427
0.4166666666666667,7.068965517241379,-322.62136537398806
0.4166666666666667,7.172413793103448,-321.8094432520574
0.4166666666666667,7.275862068965518,-320.821269467002
0.4166666666666667,7.379310344827586,-319.63594705548434
0.4166666666666667,7.482758620689655,-318.2981301326088
0.4166666666666667,7.586206896551724,-316.84155523264167
0.4166666666666667,7.689655172413794,-315.3087258675399
0.4166666666666667,7.793103448275862,-313.7548750219899
0.4166666666666667,7.896551724137931,-312.22346307499515
0.4166666666666667,8.0,-310.7423574332708
0.5208333333333334,5.0,-490.6585950059186
0.5208333333333334,5.103448275862069,-494.64298368569945
0.5208333333333334,5.206896551724138,-497.76225218519284
0.5208333333333334,5.310344827586207,-499.5437275211572
0.5208333333333334,5.413793103448276,-499.7602630296021
0.5208333333333334,5.517241379310345,-498.5581024998542
0.5208333333333334,5.620689655172414,-496.24844841058575
0.5208333333333334,5.724137931034483,-493.25242014932206
0.5208333333333334,5.827586206896552,-489.9867844006721
0.5208333333333334,5.931034482758621,-486.7958127183967
0.5208333333333334,6.0344827586206895,-483.96971212298564
0.5208333333333334,6.137931034482759,-481.69254668291086
0.5208333333333334,6.241379310344827,-480.00626609162657
0.5208333333333334,6.344827586206897,-478.9085074681907
0.5208333333333334,6.448275862068965,-478.29783569683394
0.5208333333333334,6.551724137931035,-478.04290809889966
0.5208333333333334,6.655172413793103,-477.98336856510184
