A,T,r_rl
0.0,5.0,-47.248024814978756
0.0,5.103448275862069,-47.248024814978756
0.0,5.206896551724138,-47.248024814978756
0.0,5.310344827586207,-47.248024814978756
0.0,5.413793103448276,-47.248024814978756
0.0,5.517241379310345,-47.248024814978756
0.0,5.620689655172414,-47.248024814978756
0.0,5.724137931034483,-47.248024814978756
0.0,5.827586206896552,-47.248024814978756
0.0,5.931034482758621,-47.248024814978756
0.0,6.0344827586206895,-47.248024814978756
0.0,6.137931034482759,-47.248024814978756
0.0,6.241379310344827,-47.248024814978756
0.0,6.344827586206897,-47.248024814978756
0.0,6.448275862068965,-47.248024814978756
0.0,6.551724137931035,-47.248024814978756
0.0,6.655172413793103,-47.248024814978756
0.0,6.758620689655173,-47.248024814978756
0.0,6.862068965517241,-47.248024814978756
0.0,6.9655172413793105,-47.248024814978756
0.0,7.068965517241379,-47.248024814978756
0.0,7.172413793103448,-47.248024814978756
0.0,7.275862068965518,-47.248024814978756
0.0,7.379310344827586,-47.248024814978756
0.0,7.482758620689655,-47.248024814978756
0.0,7.586206896551724,-47.248024814978756
0.0,7.689655172413794,-47.248024814978756
0.0,7.793103448275862,-47.248024814978756
0.0,7.896551724137931,-47.248024814978756
0.0,8.0,-47.248024814978756
0.10416666666666667,5.0,-65.7821608396769
0.10416666666666667,5.103448275862069,-66.53024403666205
0.10416666666666667,5.206896551724138,-67.19306772326522
0.10416666666666667,5.310344827586207,-67.71690694439637
0.10416666666666667,5.413793103448276,-68.08895833625445
0.10416666666666667,5.517241379310345,-68.30919774098427
0.10416666666666667,5.620689655172414,-68.38242935100533
0.10416666666666667,5.724137931034483,-68.33321207417433
0.10416666666666667,5.827586206896552,-68.18448430621893
0.10416666666666667,5.931034482758621,-67.96511161702193
0.10416666666666667,6.0344827586206895,-67.69004092492791
0.10416666666666667,6.137931034482759,-67.38711836574045
0.10416666666666667,6.241379310344827,-67.06323120203292
0.10416666666666667,6.344827586206897,-66.73243623035317
0.10416666666666667,6.448275862068965,-66.39740083044558
0.10416666666666667,6.551724137931035,-66.06360302196975
0.10416666666666667,6.655172413793103,-65.73681607782838
0.10416666666666667,6.758620689655173,-65.41392118934351
0.10416666666666667,6.862068965517241,-65.09463286821327
0.10416666666666667,6.9655172413793105,-64.78387127390542
0.10416666666666667,7.068965517241379,-64.48869518816566
0.10416666666666667,7.172413793103448,-64.19363238044504
0.10416666666666667,7.275862068965518,-63.90638298665205
0.10416666666666667,7.379310344827586,-63.63475033696074
0.10416666666666667,7.482758620689655,-63.38349937351736
0.10416666666666667,7.586206896551724,-63.14169536604472
0.10416666666666667,7.689655172413794,-62.929693002319354
0.10416666666666667,7.793103448275862,-62.73523906949906
0.10416666666666667,7.896551724137931,-62.55686065641293
0.10416666666666667,8.0,-62.411191514760084
0.20833333333333334,5.0,-119.19297749177112
0.20833333333333334,5.103448275862069,-120.83818678025963
0.20833333333333334,5.206896551724138,-122.23201330570828
0.20833333333333334,5.310344827586207,-123.27293389722422
0.20833333333333334,5.413793103448276,-123.91599456346265
0.20833333333333334,5.517241379310345,-124.17046651792195
0.20833333333333334,5.620689655172414,-124.07861393036293
0.20833333333333334,5.724137931034483,-123.72053013217942
0.20833333333333334,5.827586206896552,-123.18518944543744
0.20833333333333334,5.931034482758621,-122.53030833178767
0.20833333333333334,6.0344827586206895,-121.8281132149321
0.20833333333333334,6.137931034482759,-121.1335636071762
0.20833333333333334,6.241379310344827,-120.4525019211919
0.20833333333333334,6.344827586206897,-119.82244266332471
0.20833333333333334,6.448275862068965,-119.23300809687407
0.20833333333333334,6.551724137931035,-118.67939380709609
0.20833333333333334,6.655172413793103,-118.1508727052127
0.20833333333333334,6.758620689655173,-117.63575021793964
0.20833333333333334,6.862068965517241,-117.12448594855925
0.20833333333333334,6.9655172413793105,-116.59967446095524
0.20833333333333334,7.068965517241379,-116.07341395716156
0.20833333333333334,7.172413793103448,-115.51919893885974
0.20833333333333334,7.275862068965518,-114.95098370413703
0.20833333333333334,7.379310344827586,-114.37200892719476
0.20833333333333334,7.482758620689655,-113.78971137037158
0.20833333333333334,7.586206896551724,-113.21292451171372
0.20833333333333334,7.689655172413794,-112.64757632299876
0.20833333333333334,7.793103448275862,-112.1247282392709
0.20833333333333334,7.896551724137931,-111.63381575325423
0.20833333333333334,8.0,-111.19214152413771
0.3125,5.0,-207.51942759997118
0.3125,5.103448275862069,-210.18006942049675
0.3125,5.206896551724138,-212.397464156261
0.3125,5.310344827586207,-213.93321518449173
0.3125,5.413793103448276,-214.73754173906704
0.3125,5.517241379310345,-214.8395244845261
0.3125,5.620689655172414,-214.3652702550657
0.3125,5.724137931034483,-213.4279878122282
0.3125,5.827586206896552,-212.24928848443352
0.3125,5.931034482758621,-210.95239186059524
0.3125,6.0344827586206895,-209.67382230478535
0.3125,6.137931034482759,-208.48190402894434
0.3125,6.241379310344827,-207.43416651819632
0.3125,6.344827586206897,-206.53874405326644
0.3125,6.448275862068965,-205.77582338556823
0.3125,6.551724137931035,-205.11894283556774
0.3125,6.655172413793103,-204.5255818324208
0.3125,6.758620689655173,-203.9511207416036
0.3125,6.862068965517241,-203.36607446311697
0.3125,6.9655172413793105,-202.74087921842377
0.3125,7.068965517241379,-202.0392779882288
0.3125,7.172413793103448,-201.26991507950206
0.3125,7.275862068965518,-200.41692698022558
0.3125,7.379310344827586,-199.49563919316176
0.3125,7.482758620689655,-198.51814689496223
0.3125,7.586206896551724,-197.50918389786784
0.3125,7.689655172413794,-196.48738429296745
0.3125,7.793103448275862,-195.4851046659056
