time,in1,in2,in3,in1_obs,in2_obs,in3_obs,out1,out2,out3,out1_obs,out2_obs,out3_obs
0.001,0.0,0.0,0.4898042680091784,0.0,0.0,0.0,0.5,1.125,-0.37499999999999994,0.0,0.0,0.0
0.002,0.0,0.0,0.4700719606183228,0.0,0.0,0.00952035936440697,0.5019523889559122,1.1273530753594474,-0.3730476110440878,0.001541275989607211,0.0018106650037918882,0.004160965890175567
0.003,0.0,0.0,0.4503136684288852,0.0,0.0,0.020069105841029708,0.5038825530736766,1.1296997729639378,-0.3711174469263234,0.003983495589064058,0.004505839858512828,0.009971510538019042
0.004,0.0,0.0,0.4305679182060128,0.0,0.0,0.03301167618201517,0.5057904759332791,1.132039883635662,-0.3692095240667208,0.007137654748172061,0.00790475951411731,0.01654149277010341
0.005,0.0,0.0,0.4110017023612119,0.0,0.0,0.04743768289771128,0.5076761430872426,1.1343731982948686,-0.36732385691275726,0.01084917213246071,0.011869278683666898,0.023609523892935608
0.006,0.0,0.0,0.39182394598558734,0.0,0.0,0.06297143498764034,0.5095395420603804,1.1366995079784485,-0.3654604579396195,0.015025878190943646,0.016312768033597748,0.03104153307461579
0.007,0.0,0.0,0.3731946205311173,0.0,0.0,0.07939877640751315,0.5113806623493738,1.1390186038585117,-0.3636193376506261,0.01960607903903569,0.021175345073358873,0.038754015829439735
0.008,0.0,0.0,0.3552042847382585,0.0,0.0,0.0965768559207316,0.513199495422176,1.1413302772609595,-0.36180050457782387,0.02454524097556206,0.026412593963909187,0.04668925443728919
0.009000000000000001,0.0,0.0,0.33789485003026043,0.0,0.0,0.11440164472944596,0.5149960347172394,1.1436343196840455,-0.3600039652827605,0.029809582089391433,0.031990015952405484,0.054804640369307274
0.010000000000000002,0.0,0.0,0.32128037535312176,0.0,0.0,0.13279347355972582,0.5167702756425688,1.1459305228169288,-0.35822972435743117,0.0353725828117225,0.03787998560251566,0.06306724742892345
0.011000000000000003,0.0,0.0,0.30535951283326845,0.0,0.0,0.15168920247099849,0.5185222155746002,1.148218678558211,-0.3564777844253998,0.04121290974451336,0.04405990848624774,0.07145075880629914
0.012000000000000004,0.0,0.0,0.2901223360879037,0.0,0.0,0.17103743974654195,0.5202518538569032,1.1504985790344637,-0.3547481461430967,0.047313096132199,0.05051101947894706,0.0799335874643637
0.013000000000000005,0.0,0.0,0.2755541955830136,0.0,0.0,0.19079543657699183,0.5219591917987112,1.1527700166187387,-0.3530408082012888,0.0536586593802744,0.05721755624175416,0.08849765730586441
0.014000000000000005,0.0,0.0,0.2616380199440271,0.0,0.0,0.21092698555401523,0.5236442326732746,1.15503278394906,-0.35135576732672524,0.06023748680690091,0.06416616862734428,0.09712757580424758
0.015000000000000006,0.0,0.0,0.24835574943710553,0.0,0.0,0.23140094996284807,0.5253069817160422,1.1572866739468985,-0.34969301828395777,0.0670393944376476,0.071345484459979,0.10581005134666308
0.016000000000000007,0.0,0.0,0.2356892238989602,0.0,0.0,0.25219020423590044,0.5269474461226661,1.1595314798356269,-0.3480525538773339,0.07405580221195131,0.07874578328122175,0.11453347040928623
0.017000000000000008,0.0,0.0,0.22621772548931546,0.0,0.0,0.2732708510394219,0.5285656350468345,1.1617669951589502,-0.3464343649531655,0.08127949038868709,0.08635874719924501,0.12328758302044102
0.01800000000000001,0.0,0.0,0.22080841428176606,0.0,0.0,0.2954094375668745,0.5301615595979301,1.1639930137993153,-0.3448384404020699,0.08870413830148793,0.09417727396240211,0.13206339493318955
0.01900000000000001,0.0,0.0,0.2168139375349542,0.0,0.0,0.3192611448544026,0.5317352328385148,1.1662093299962928,-0.3432647671614851,0.09632032134296369,0.1021945757026216,0.1408537135630728
0.02000000000000001,0.0,0.0,0.21383099196427763,0.0,0.0,0.3434170002816552,0.5332866697816416,1.1684157383649347,-0.34171333021835837,0.10411375488026231,0.11040234679003987,0.14965149988565063
0.02100000000000001,0.0,0.0,0.21169706405797462,0.0,0.0,0.3676890638811519,0.534815887387993,1.1706120339141008,-0.340184112612007,0.11206886928863626,0.11879104252580094,0.15844855123448745
0.022000000000000013,0.0,0.0,0.2103108403809683,0.0,0.0,0.39201526040934437,0.5363229045628473,1.1727980120647559,-0.3386770954371527,0.12017117322446216,0.12735144880469773,0.16723672835502032
0.023000000000000013,0.0,0.0,0.2095996730662073,0.0,0.0,0.4163629855185372,0.5378077421528716,1.174973468668236,-0.33719225784712825,0.12840747238869507,0.13607488149108396,0.1760081040456458
0.024000000000000014,0.0,0.0,0.20950761727259182,0.0,0.0,0.44071265728441267,0.539270422942744,1.1771382000244806,-0.33572957705725587,0.1367657809782277,0.1449531839275291,0.18475495707283146
0.025000000000000015,0.0,0.0,0.20998966008157327,0.0,0.0,0.465051877190062,0.5407109716516023,1.179292002900229,-0.33428902834839774,0.14523518755071987,0.15397868890232336,0.19346973943095408
0.026000000000000016,0.0,0.0,0.21100803826795433,0.0,0.0,0.48937258832999525,0.5421294149293222,1.1814346745471813,-0.3328705850706777,0.15380572199716325,0.16314417322480318,0.20214503621709196
0.027000000000000017,0.0,0.0,0.21252961322229696,0.0,0.0,0.5136695363067747,0.5435257813526249,1.1835660127201204,-0.331474218647375,0.1624682349598588,0.1724428123383808,0.21077352240463157
0.028000000000000018,0.0,0.0,0.21452483838137604,0.0,0.0,0.537939357509469,0.5449001014210123,1.1856858156949945,-0.3300998985789877,0.17121429242692246,0.1818681379925532,0.219347917390087
